Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	NADP	4	10.256410256410255	0.02722267569211428	NM_001178463, NM_001183405, NM_001178432, NM_001183038	37	77	4212	5.9136539136539135	0.8870043710534081	1.0	1.0
UP_KEYWORDS	Transport	11	28.205128205128204	0.04617958952031953	NM_001180714, NM_001182507, NM_001181121, NM_001179000, NM_001180837, NM_001180969, NM_001178201, NM_001179686, NM_001181426, NM_001182537, NM_001183411	37	663	4212	1.8887122416534181	0.9761294563636327	1.0	1.0
UP_KEYWORDS	Respiratory chain	2	5.128205128205128	0.09020314185921763	NM_001180837, NM_001181426	37	11	4212	20.6977886977887	0.9994290340824215	1.0	1.0
UP_KEYWORDS	Mitochondrion	9	23.076923076923077	0.13546969636958311	NM_001180837, NM_001180969, NM_001181052, NM_001180640, NM_001182235, NM_001179686, NM_001178432, NM_001181426, NM_001183038	37	606	4212	1.6906609579876908	0.9999898693468793	1.0	1.0
UP_KEYWORDS	Transmembrane helix	11	28.205128205128204	0.1525780146562164	NM_001180714, NM_001182507, NM_001181121, NM_001180969, NM_001181350, NM_001181873, NM_001179686, NM_001181426, NM_001182537, NM_001183411, NM_001184689	37	827	4212	1.5141671296447599	0.9999979112885973	1.0	1.0
UP_KEYWORDS	Mitochondrion inner membrane	4	10.256410256410255	0.1529869198617091	NM_001180837, NM_001181052, NM_001179686, NM_001181426	37	159	4212	2.8638449770525245	0.9999979894297752	1.0	1.0
UP_KEYWORDS	Transmembrane	11	28.205128205128204	0.1579767822107942	NM_001180714, NM_001182507, NM_001181121, NM_001180969, NM_001181350, NM_001181873, NM_001179686, NM_001181426, NM_001182537, NM_001183411, NM_001184689	37	833	4212	1.5032607637649655	0.9999987393304047	1.0	1.0
UP_KEYWORDS	Hydrolase	7	17.94871794871795	0.1989695994235686	NM_001178989, NM_001182496, NM_001180409, NM_001180640, NM_001179102, NM_001178432, NM_001178953	37	464	4212	1.717381174277726	0.9999999755504486	1.0	1.0
UP_KEYWORDS	Oxidoreductase	4	10.256410256410255	0.22912369387955075	NM_001181052, NM_001178463, NM_001183405, NM_001178432	37	194	4212	2.3471719141822236	0.999999998820247	1.0	1.0
UP_KEYWORDS	Membrane	14	35.8974358974359	0.24669454083810916	NM_001181121, NM_001180581, NM_001181350, NM_001181052, NM_001181873, NM_001181426, NM_001182537, NM_001183411, NM_001184689, NM_001180714, NM_001182507, NM_001180837, NM_001180969, NM_001179686	37	1248	4212	1.2770270270270272	0.9999999998091386	1.0	1.0
