Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_4	GO:0061008~hepaticobiliary system development	4	3.076923076923077	0.04913466577594245	XP_005162901, NP_001036186, NP_001002588, NP_001004540	73	11	912	4.542963885429639	0.9999997655439646	1.0	1.0
GOTERM_BP_4	GO:0001889~liver development	4	3.076923076923077	0.04913466577594245	XP_005162901, NP_001036186, NP_001002588, NP_001004540	73	11	912	4.542963885429639	0.9999997655439646	1.0	1.0
GOTERM_BP_4	GO:0044255~cellular lipid metabolic process	10	7.6923076923076925	0.051854156462491266	NP_001004529, NP_956472, NP_957433, NP_001003746, NP_001002207, XP_697507, XP_693668, XP_005170233, NP_998096, NP_998672	73	63	912	1.983039791258969	0.9999999015605684	1.0	1.0
GOTERM_BP_4	GO:0048732~gland development	5	3.8461538461538463	0.05585048172444569	NP_571105, XP_005162901, NP_001036186, NP_001002588, NP_001004540	73	19	912	3.287671232876712	0.9999999726249391	1.0	1.0
GOTERM_BP_4	GO:0045333~cellular respiration	6	4.615384615384616	0.10026816966859092	NP_001001589, NP_958895, NP_001003747, NP_001002068, NP_998296, NP_001038822	73	32	912	2.3424657534246576	0.9999999999999876	1.0	1.0
GOTERM_BP_4	GO:0015980~energy derivation by oxidation of organic compounds	6	4.615384615384616	0.13464508625055374	NP_001001589, NP_958895, NP_001003747, NP_001002068, NP_998296, NP_001038822	73	35	912	2.1416829745596866	1.0	1.0	1.0
GOTERM_BP_4	GO:0006082~organic acid metabolic process	13	10.0	0.14463799746893274	NP_001004529, NP_956472, NP_958895, NP_001003746, NP_001002207, NP_001003882, NP_001274017, NP_001039309, NP_571876, NP_001304099, NP_001038907, NP_998296, NP_998672	73	110	912	1.4764632627646326	1.0	1.0	1.0
GOTERM_BP_4	GO:0015849~organic acid transport	2	1.5384615384615385	0.15174186839211326	NP_001032750, NP_001004546	73	2	912	12.493150684931507	1.0	1.0	1.0
GOTERM_BP_4	GO:0043436~oxoacid metabolic process	12	9.230769230769232	0.15271496103577753	NP_001004529, NP_001274017, NP_956472, NP_001039309, NP_571876, NP_001003746, NP_001304099, NP_001038907, NP_001002207, NP_998296, NP_998672, NP_001003882	73	100	912	1.4991780821917808	1.0	1.0	1.0
GOTERM_BP_4	GO:0044242~cellular lipid catabolic process	5	3.8461538461538463	0.189669414671425	NP_001004529, NP_956472, NP_001003746, NP_001002207, XP_005170233	73	29	912	2.1539914974019836	1.0	1.0	1.0
