Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_4	GO:0006518~peptide metabolic process	118	4.451150509241796	7.19690579569435E-5	XP_017646884, XP_017623880, XP_017649239, XP_017632878, XP_017617127, XP_017631947, XP_017608094, XP_017627170, XP_017607551, XP_017608401, XP_017634257, XP_017611253, XP_017641994, XP_017611370, XP_017639022, XP_017621610, XP_017649763, XP_017644234, XP_017634923, XP_017616700, XP_017610617, XP_017626460, XP_017608496, XP_017637994, XP_017623918, XP_017634246, XP_017611261, XP_017602953, YP_005089032, YP_005089036, YP_005089035, YP_005088981, YP_005089034, XP_017617027, XP_017647155, XP_017612881, XP_017603530, XP_017605158, YP_005089038, XP_017622739, YP_005089037, XP_017607337, XP_017619154, XP_017649747, XP_017623259, XP_017619155, YP_005089045, XP_017624465, XP_017647281, XP_017616689, XP_017630505, XP_017608430, XP_017617817, XP_017643809, XP_017613984, XP_017638747, XP_017615128, XP_017649908, XP_017643886, XP_017635231, XP_017619680, YP_005088997, XP_017635073, XP_017623443, XP_017640980, XP_017631226, XP_017611219, XP_017607594, XP_017609775, XP_017631584, XP_017615411, XP_017634972, XP_017612540, XP_017607876, XP_017648909, XP_017606705, XP_017607929, YP_005089020, XP_017643342, XP_017646216, YP_005089022, XP_017611509, XP_017616589, XP_017621492, XP_017616228, XP_017634729, XP_017611865, XP_017634964, XP_017634841, XP_017640631, XP_017603202, XP_017612270, XP_017649779, XP_017617065, XP_017629447, XP_017629962, XP_017624273, XP_017612605, XP_017646781, XP_017620191, XP_017632331, XP_017611355, XP_017621849, XP_017643558, XP_017639081, XP_017644893, XP_017616087, XP_017623853, XP_017624386, XP_017647403, XP_017616883, XP_017624261, XP_017611766, XP_017638427, XP_017612972, XP_017606570, XP_017620986, XP_017618270	435	270	1303	1.3091017454235847	0.022838070347460993	0.014226914734440094	0.014005311701193365
GOTERM_BP_4	GO:0043603~cellular amide metabolic process	118	4.451150509241796	8.864121329869218E-5	XP_017646884, XP_017623880, XP_017649239, XP_017632878, XP_017617127, XP_017631947, XP_017608094, XP_017627170, XP_017607551, XP_017608401, XP_017634257, XP_017611253, XP_017641994, XP_017611370, XP_017639022, XP_017621610, XP_017649763, XP_017644234, XP_017634923, XP_017616700, XP_017610617, XP_017626460, XP_017608496, XP_017637994, XP_017623918, XP_017634246, XP_017611261, XP_017602953, YP_005089032, YP_005089036, YP_005089035, YP_005088981, YP_005089034, XP_017617027, XP_017647155, XP_017612881, XP_017603530, XP_017605158, YP_005089038, XP_017622739, YP_005089037, XP_017607337, XP_017619154, XP_017649747, XP_017623259, XP_017619155, YP_005089045, XP_017624465, XP_017647281, XP_017616689, XP_017630505, XP_017608430, XP_017617817, XP_017643809, XP_017613984, XP_017638747, XP_017615128, XP_017649908, XP_017643886, XP_017635231, XP_017619680, YP_005088997, XP_017635073, XP_017623443, XP_017640980, XP_017631226, XP_017611219, XP_017607594, XP_017609775, XP_017631584, XP_017615411, XP_017634972, XP_017612540, XP_017607876, XP_017648909, XP_017606705, XP_017607929, YP_005089020, XP_017643342, XP_017646216, YP_005089022, XP_017611509, XP_017616589, XP_017621492, XP_017616228, XP_017634729, XP_017611865, XP_017634964, XP_017634841, XP_017640631, XP_017603202, XP_017612270, XP_017649779, XP_017617065, XP_017629447, XP_017629962, XP_017624273, XP_017612605, XP_017646781, XP_017620191, XP_017632331, XP_017611355, XP_017621849, XP_017643558, XP_017639081, XP_017644893, XP_017616087, XP_017623853, XP_017624386, XP_017647403, XP_017616883, XP_017624261, XP_017611766, XP_017638427, XP_017612972, XP_017606570, XP_017620986, XP_017618270	435	271	1303	1.3042711116766341	0.02805405735828337	0.014226914734440094	0.014005311701193365
GOTERM_BP_4	GO:0044271~cellular nitrogen compound biosynthetic process	182	6.865333836288193	3.089695451037701E-4	XP_017646884, XP_017623880, XP_017629469, XP_017649239, XP_017632878, XP_017626596, XP_017617127, XP_017619307, XP_017631947, XP_017608094, XP_017627170, XP_017607551, XP_017608401, XP_017634257, XP_017611253, XP_017641873, XP_017641994, XP_017642689, XP_017611370, XP_017639022, XP_017649646, XP_017621610, XP_017649763, XP_017622660, XP_017644234, XP_017633559, XP_017634923, XP_017634647, XP_017616700, XP_017610617, XP_017626460, XP_017608496, XP_017637994, XP_017623918, XP_017638323, XP_017612630, XP_017634246, XP_017611261, XP_017643821, XP_017602953, XP_017603405, YP_005089032, YP_005089031, XP_017624079, YP_005089036, YP_005089035, YP_005088981, YP_005089034, XP_017617027, XP_017647155, XP_017628153, XP_017608272, XP_017638599, XP_017630993, XP_017608421, XP_017612881, XP_017603530, YP_005088984, XP_017605158, YP_005088985, YP_005089038, XP_017622739, YP_005089037, XP_017607337, YP_005088989, XP_017606408, YP_005088986, YP_005088987, XP_017646113, XP_017619154, XP_017621994, XP_017649747, XP_017623259, XP_017619155, YP_005088991, XP_017623014, YP_005089045, YP_005088990, XP_017625312, XP_017624465, XP_017647281, XP_017616689, XP_017646472, XP_017630505, XP_017615923, XP_017608430, XP_017617817, XP_017643809, XP_017613984, XP_017638747, XP_017606493, XP_017615128, XP_017649908, XP_017643886, XP_017635231, XP_017619680, YP_005088997, XP_017635073, XP_017616475, XP_017623443, XP_017640980, XP_017631226, XP_017611219, XP_017608442, XP_017607594, XP_017609775, XP_017631584, XP_017615411, XP_017634972, XP_017612540, XP_017623849, XP_017607876, XP_017648909, XP_017606705, XP_017607929, YP_005089020, XP_017643342, XP_017627515, XP_017646332, XP_017620202, XP_017646216, XP_017621495, YP_005089022, XP_017611509, XP_017616589, XP_017621492, XP_017627350, XP_017616228, XP_017634729, XP_017611865, XP_017634964, XP_017612311, XP_017634841, XP_017640631, XP_017642414, XP_017603202, XP_017612270, XP_017623104, XP_017649779, XP_017617065, XP_017627424, XP_017629447, XP_017629962, XP_017624273, XP_017612605, XP_017646781, XP_017620191, XP_017632331, XP_017607650, XP_017611355, XP_017639525, XP_017621849, XP_017643558, XP_017641657, XP_017623987, XP_017639081, XP_017642471, XP_017644893, XP_017616087, XP_017602936, XP_017623853, XP_017616484, XP_017624386, XP_017647403, XP_017627411, XP_017623695, XP_017616883, XP_017624261, XP_017629397, XP_017631639, XP_017611766, XP_017638427, XP_017612337, XP_017612972, XP_017634980, XP_017606570, XP_017631477, XP_017637731, XP_017606734, XP_017620986, YP_005089006, XP_017618270	435	458	1303	1.1903127039100538	0.0944334860071242	0.0330597413261034	0.03254479208426378
GOTERM_BP_4	GO:0009059~macromolecule biosynthetic process	175	6.601282534892492	0.0011982965009583876	XP_017646884, XP_017623880, XP_017629469, XP_017649239, XP_017632878, XP_017617127, XP_017631947, XP_017608094, XP_017627170, XP_017607551, XP_017608401, XP_017634257, XP_017611253, XP_017641873, XP_017641994, XP_017642689, XP_017611370, XP_017639022, XP_017649646, XP_017650116, XP_017621610, XP_017649763, XP_017644234, XP_017626501, XP_017633559, XP_017634923, XP_017634647, XP_017616700, XP_017610617, XP_017626460, XP_017608496, XP_017637994, XP_017623918, XP_017634246, XP_017611261, XP_017643821, XP_017620006, XP_017602953, XP_017603405, YP_005089032, YP_005089031, XP_017624079, YP_005089036, YP_005089035, YP_005088981, YP_005089034, XP_017617027, XP_017647155, XP_017628153, XP_017638599, XP_017630993, XP_017608421, XP_017612881, XP_017603530, XP_017605158, YP_005089038, XP_017622739, YP_005089037, XP_017607337, YP_005088989, XP_017646113, XP_017619154, XP_017649747, XP_017623259, XP_017619155, YP_005088991, XP_017623014, YP_005089045, YP_005088990, XP_017625312, XP_017624465, XP_017647281, XP_017616689, XP_017630505, XP_017649582, XP_017615923, XP_017608430, XP_017617817, XP_017643809, XP_017613984, XP_017638747, XP_017615128, XP_017636167, XP_017633611, XP_017649908, XP_017643886, XP_017607105, XP_017635231, XP_017619680, YP_005088997, XP_017635073, XP_017616475, XP_017623443, XP_017640980, XP_017631226, XP_017611219, XP_017607594, XP_017609775, XP_017631584, XP_017615411, XP_017634972, XP_017612540, XP_017623849, XP_017607876, XP_017648909, XP_017606705, XP_017607929, XP_017621531, YP_005089020, XP_017643342, XP_017627515, XP_017646332, XP_017625972, XP_017620202, XP_017646216, XP_017621495, YP_005089022, XP_017611509, XP_017616589, XP_017621492, XP_017627350, XP_017616228, XP_017634729, XP_017611865, XP_017615668, XP_017634964, XP_017612311, XP_017634841, XP_017640631, XP_017642414, XP_017603202, XP_017612270, XP_017623104, XP_017649779, XP_017617065, XP_017627424, XP_017629447, XP_017629962, XP_017624273, XP_017612605, XP_017646781, XP_017620191, XP_017632331, XP_017607650, XP_017611355, XP_017639525, XP_017621849, XP_017643558, XP_017641657, XP_017623987, XP_017639081, XP_017644893, XP_017616087, XP_017602936, XP_017623853, XP_017616484, XP_017624386, XP_017647403, XP_017623695, XP_017616883, XP_017624261, XP_017629397, XP_017631639, XP_017611766, XP_017611888, XP_017638427, XP_017609168, XP_017612337, XP_017612972, XP_017630021, XP_017606570, XP_017631477, XP_017606734, XP_017620986, XP_017618270	435	447	1303	1.1726966494381446	0.319470308096266	0.08353196969704167	0.08223084867372325
GOTERM_BP_4	GO:0034645~cellular macromolecule biosynthetic process	172	6.488117691437194	0.0013160170787160697	XP_017646884, XP_017623880, XP_017629469, XP_017649239, XP_017632878, XP_017617127, XP_017631947, XP_017608094, XP_017627170, XP_017607551, XP_017608401, XP_017634257, XP_017611253, XP_017641873, XP_017641994, XP_017642689, XP_017611370, XP_017639022, XP_017649646, XP_017650116, XP_017621610, XP_017649763, XP_017644234, XP_017626501, XP_017633559, XP_017634923, XP_017634647, XP_017616700, XP_017610617, XP_017626460, XP_017608496, XP_017637994, XP_017623918, XP_017634246, XP_017611261, XP_017643821, XP_017620006, XP_017602953, XP_017603405, YP_005089032, YP_005089031, XP_017624079, YP_005089036, YP_005089035, YP_005088981, YP_005089034, XP_017617027, XP_017647155, XP_017628153, XP_017638599, XP_017630993, XP_017608421, XP_017612881, XP_017603530, XP_017605158, YP_005089038, XP_017622739, YP_005089037, XP_017607337, YP_005088989, XP_017646113, XP_017619154, XP_017649747, XP_017623259, XP_017619155, YP_005088991, XP_017623014, YP_005089045, YP_005088990, XP_017625312, XP_017624465, XP_017647281, XP_017616689, XP_017630505, XP_017615923, XP_017608430, XP_017617817, XP_017643809, XP_017613984, XP_017638747, XP_017615128, XP_017636167, XP_017633611, XP_017649908, XP_017643886, XP_017635231, XP_017619680, YP_005088997, XP_017635073, XP_017616475, XP_017623443, XP_017640980, XP_017631226, XP_017611219, XP_017607594, XP_017609775, XP_017631584, XP_017615411, XP_017634972, XP_017612540, XP_017623849, XP_017607876, XP_017648909, XP_017606705, XP_017607929, XP_017621531, YP_005089020, XP_017643342, XP_017627515, XP_017646332, XP_017625972, XP_017620202, XP_017646216, XP_017621495, YP_005089022, XP_017611509, XP_017616589, XP_017621492, XP_017627350, XP_017616228, XP_017634729, XP_017611865, XP_017615668, XP_017634964, XP_017612311, XP_017634841, XP_017640631, XP_017642414, XP_017603202, XP_017612270, XP_017623104, XP_017649779, XP_017617065, XP_017627424, XP_017629447, XP_017629962, XP_017624273, XP_017612605, XP_017646781, XP_017620191, XP_017632331, XP_017607650, XP_017611355, XP_017639525, XP_017621849, XP_017643558, XP_017641657, XP_017623987, XP_017639081, XP_017644893, XP_017616087, XP_017602936, XP_017623853, XP_017616484, XP_017624386, XP_017647403, XP_017623695, XP_017616883, XP_017624261, XP_017629397, XP_017631639, XP_017611766, XP_017611888, XP_017638427, XP_017612337, XP_017612972, XP_017630021, XP_017606570, XP_017631477, XP_017606734, XP_017620986, XP_017618270	435	439	1303	1.173597256041683	0.3447377203089451	0.08353196969704167	0.08223084867372325
GOTERM_BP_4	GO:0044267~cellular protein metabolic process	143	5.394190871369295	0.0015613452279820872	XP_017647335, XP_017646884, XP_017623880, XP_017627444, XP_017649239, XP_017632878, XP_017617127, XP_017631947, XP_017608094, XP_017627170, XP_017635225, XP_017607551, XP_017608401, XP_017634257, XP_017611253, XP_017641994, XP_017611370, XP_017639022, XP_017650116, XP_017621610, XP_017649763, XP_017644234, XP_017634923, XP_017616700, XP_017610617, XP_017626460, XP_017608496, XP_017603083, XP_017637994, XP_017623918, XP_017634246, XP_017611261, XP_017603365, XP_017602953, YP_005089032, YP_005089036, YP_005089035, YP_005088981, YP_005089034, XP_017617027, XP_017647155, XP_017649057, XP_017625290, XP_017615872, XP_017612881, XP_017603530, XP_017605158, YP_005089038, XP_017622739, YP_005089037, XP_017607337, XP_017619154, XP_017649747, XP_017623259, XP_017619155, YP_005089045, XP_017624102, XP_017624465, XP_017647281, XP_017616689, XP_017630505, XP_017608430, XP_017612414, XP_017617817, XP_017643809, XP_017613984, XP_017638747, XP_017615128, XP_017636167, YP_005088995, XP_017649908, XP_017643886, XP_017635231, YP_005088994, YP_005088999, XP_017619680, YP_005088997, XP_017635073, YP_005088998, XP_017623443, XP_017640980, XP_017631226, XP_017611219, XP_017607594, XP_017609775, XP_017631584, XP_017615411, XP_017634972, XP_017612540, XP_017607876, XP_017623724, XP_017648909, XP_017606705, XP_017607929, XP_017621531, YP_005089020, XP_017643342, XP_017617396, XP_017625212, XP_017646216, YP_005089022, XP_017611509, XP_017616589, XP_017621492, XP_017616228, XP_017634729, XP_017616989, XP_017611865, XP_017634964, XP_017634841, XP_017640631, XP_017603202, XP_017612270, XP_017607924, XP_017649779, XP_017617065, XP_017629447, XP_017629962, XP_017624273, XP_017612605, XP_017646781, XP_017620191, XP_017632331, XP_017611355, XP_017621849, XP_017643558, XP_017639081, XP_017644893, XP_017616087, XP_017623853, XP_017624386, XP_017627810, XP_017647403, XP_017616883, XP_017624261, XP_017616127, XP_017611766, XP_017638427, XP_017615845, XP_017612972, XP_017606570, XP_017620986, XP_017618270	435	357	1303	1.1998390160661967	0.39442901711084966	0.08353196969704167	0.08223084867372325
GOTERM_BP_4	GO:0019538~protein metabolic process	147	5.545077329309694	0.0022755972991756732	XP_017647335, XP_017646884, XP_017623880, XP_017627444, XP_017649239, XP_017632878, XP_017617127, XP_017631947, XP_017608094, XP_017627170, XP_017635225, XP_017607551, XP_017632236, XP_017608401, XP_017634257, XP_017611253, XP_017641994, XP_017611370, XP_017639022, XP_017650116, XP_017621610, XP_017649763, XP_017644234, XP_017634923, XP_017616700, XP_017610617, XP_017626460, XP_017608496, XP_017603083, XP_017637994, XP_017623918, XP_017634246, XP_017611261, XP_017603365, XP_017602953, YP_005089032, YP_005089036, YP_005089035, YP_005088981, YP_005089034, XP_017617027, XP_017647155, XP_017649057, XP_017625290, XP_017615872, XP_017612881, XP_017603530, XP_017605158, XP_017650163, YP_005089038, XP_017622739, YP_005089037, XP_017607337, XP_017619154, XP_017649747, XP_017623259, XP_017619155, YP_005089045, XP_017624102, XP_017624465, XP_017647281, XP_017616689, XP_017630505, XP_017608430, XP_017612414, XP_017617817, XP_017643809, XP_017613984, XP_017638747, XP_017615128, XP_017636167, YP_005088995, XP_017649908, XP_017643886, XP_017635231, YP_005088994, YP_005088999, XP_017619680, YP_005088997, XP_017635073, YP_005088998, XP_017623443, XP_017640980, XP_017631226, XP_017611219, XP_017607594, XP_017609775, XP_017631584, XP_017615411, XP_017634972, XP_017612540, XP_017607876, XP_017623724, XP_017648909, XP_017606705, XP_017607929, XP_017621531, YP_005089020, XP_017643342, XP_017617396, XP_017625212, XP_017646216, YP_005089022, XP_017611509, XP_017616589, XP_017621492, XP_017616228, XP_017634729, XP_017616989, XP_017611865, XP_017634964, XP_017634841, XP_017640631, XP_017603202, XP_017612270, XP_017607924, XP_017649779, XP_017617065, XP_017629447, XP_017629962, XP_017624273, XP_017612605, XP_017646781, XP_017620191, XP_017632331, XP_017611355, XP_017621849, XP_017643558, XP_017623866, XP_017639081, XP_017644893, XP_017616087, XP_017623853, XP_017624386, XP_017627810, XP_017647403, XP_017616883, XP_017624261, XP_017616127, XP_017611766, XP_017638427, XP_017615845, XP_017612972, XP_017606570, XP_017607783, XP_017620986, XP_017618270	435	371	1303	1.1868575146389069	0.5187166610901595	0.10435239043362729	0.10272696379135897
GOTERM_BP_4	GO:0010467~gene expression	179	6.752168992832893	0.003238700651002235	XP_017646884, XP_017623880, XP_017641871, XP_017649239, XP_017632878, XP_017617127, XP_017631947, XP_017608094, XP_017627170, XP_017607551, XP_017632236, XP_017608401, XP_017634257, XP_017611253, XP_017641873, XP_017641994, XP_017642689, XP_017611370, XP_017639022, XP_017649646, XP_017621610, XP_017649763, XP_017646019, XP_017644234, XP_017633559, XP_017634923, XP_017634647, XP_017616700, XP_017610617, XP_017626460, XP_017608496, XP_017637994, XP_017623918, XP_017634246, XP_017611261, XP_017603365, XP_017643821, XP_017602953, XP_017623913, XP_017603405, YP_005089032, YP_005089031, XP_017624079, YP_005089036, YP_005088980, YP_005089035, YP_005088981, YP_005089034, XP_017617027, XP_017647155, XP_017628153, XP_017638599, XP_017630993, XP_017608421, XP_017612881, XP_017603530, XP_017605158, YP_005089038, XP_017622739, XP_017642788, YP_005089037, XP_017607337, YP_005088989, XP_017625968, XP_017646113, XP_017619154, XP_017649747, XP_017623259, XP_017619155, YP_005088991, XP_017623014, YP_005089045, YP_005088990, XP_017625312, XP_017624465, XP_017647281, XP_017616689, XP_017630505, XP_017615923, XP_017608430, XP_017617817, XP_017643809, XP_017613984, XP_017638747, XP_017615128, XP_017607104, XP_017649908, XP_017643886, XP_017635231, XP_017619680, YP_005088997, XP_017635073, XP_017637291, XP_017629549, XP_017616475, XP_017623443, XP_017640980, XP_017631226, XP_017611219, XP_017637968, XP_017607594, XP_017609775, XP_017631584, XP_017615411, XP_017634972, XP_017612540, XP_017639101, XP_017623849, XP_017607876, XP_017648909, XP_017606705, XP_017607929, YP_005089020, XP_017643342, XP_017627515, XP_017646332, XP_017626701, XP_017620202, XP_017646216, XP_017621495, YP_005089022, XP_017611509, XP_017616589, XP_017621492, XP_017627350, XP_017616228, XP_017634729, XP_017611865, XP_017634964, XP_017612311, XP_017634841, XP_017640631, XP_017642414, XP_017603202, XP_017612270, XP_017623104, XP_017649779, XP_017617065, XP_017627424, XP_017629447, XP_017629962, XP_017624273, XP_017612605, XP_017646781, XP_017620191, XP_017624270, XP_017615714, XP_017632331, XP_017607650, XP_017611355, XP_017639525, XP_017621849, XP_017643558, XP_017641657, XP_017623987, XP_017639081, XP_017644893, XP_017616087, XP_017602936, XP_017623853, XP_017616484, XP_017624386, XP_017647403, XP_017623695, XP_017616883, XP_017624261, XP_017629397, XP_017631639, XP_017611766, XP_017619519, XP_017638427, XP_017612337, XP_017612972, XP_017612852, XP_017606570, XP_017631477, XP_017606734, XP_017620986, XP_017618270	435	466	1303	1.150594445266637	0.6470080639819558	0.11818780738658384	0.11634687580735359
GOTERM_BP_4	GO:1901566~organonitrogen compound biosynthetic process	145	5.469634100339495	0.0033136768426145005	XP_017646884, XP_017623880, XP_017649239, XP_017632878, XP_017617127, XP_017619307, XP_017631947, XP_017608094, XP_017627170, XP_017607551, XP_017608401, XP_017634257, XP_017611253, XP_017641994, XP_017611370, XP_017639022, XP_017648797, XP_017621610, XP_017649763, XP_017622660, XP_017644234, XP_017634923, XP_017630964, XP_017616700, XP_017610617, XP_017626460, XP_017608496, XP_017637994, XP_017623918, XP_017638323, XP_017612630, XP_017634246, XP_017611261, XP_017603365, XP_017602953, YP_005089032, YP_005089036, YP_005089035, YP_005088981, YP_005089034, XP_017617027, XP_017647155, XP_017608272, XP_017630913, XP_017612881, XP_017603530, YP_005088984, XP_017605158, YP_005088985, YP_005089038, XP_017622739, YP_005089037, XP_017607337, XP_017606408, YP_005088986, YP_005088987, XP_017619154, XP_017621994, XP_017649747, XP_017620140, XP_017623259, XP_017619155, YP_005089045, XP_017624465, XP_017647281, XP_017616689, XP_017646472, XP_017630505, XP_017608430, XP_017617817, XP_017643809, XP_017613984, XP_017638747, XP_017606493, XP_017615128, XP_017649908, XP_017643886, XP_017635231, XP_017619680, YP_005088997, XP_017635073, XP_017623443, XP_017640980, XP_017631226, XP_017611219, XP_017608442, XP_017607594, XP_017609775, XP_017631584, XP_017615411, XP_017634972, XP_017612540, XP_017607876, XP_017648909, XP_017606705, XP_017607929, YP_005089020, XP_017643342, XP_017646216, YP_005089022, XP_017611509, XP_017616589, XP_017621492, XP_017616228, XP_017634729, XP_017611865, XP_017634964, XP_017634841, XP_017640631, XP_017603202, XP_017612270, XP_017649779, XP_017617065, XP_017630718, XP_017629447, XP_017629962, XP_017624273, XP_017612605, XP_017646781, XP_017620191, XP_017632331, XP_017611355, XP_017611752, XP_017621849, XP_017643558, XP_017639081, XP_017642471, XP_017644893, XP_017616087, XP_017623853, XP_017624386, XP_017647403, XP_017627411, XP_017616883, XP_017624261, XP_017611766, XP_017638427, XP_017612972, XP_017634980, XP_017606570, XP_017637731, XP_017620986, YP_005089006, XP_017618270, XP_017615160	435	368	1303	1.1802536231884058	0.6554294887315137	0.11818780738658384	0.11634687580735359
GOTERM_BP_4	GO:0044260~cellular macromolecule metabolic process	220	8.29875518672199	0.011377533386909012	XP_017647335, XP_017629469, XP_017632878, XP_017617127, XP_017608094, XP_017627170, XP_017635225, XP_017612347, XP_017607551, XP_017608401, XP_017635343, XP_017634257, XP_017611253, XP_017632070, XP_017642689, XP_017611370, XP_017639022, XP_017649646, XP_017621610, XP_017649763, XP_017626501, XP_017646019, XP_017634923, XP_017610617, XP_017616700, XP_017603083, XP_017637994, XP_017623918, XP_017634246, XP_017611261, XP_017623913, XP_017603405, YP_005089032, YP_005089031, YP_005089036, YP_005088980, YP_005089035, YP_005088981, YP_005089034, XP_017617027, XP_017628153, XP_017649057, XP_017608421, XP_017615872, XP_017603530, XP_017605158, XP_017622739, XP_017642788, YP_005089038, XP_017607337, YP_005089037, YP_005088989, XP_017646113, XP_017649747, XP_017623259, YP_005088991, XP_017623014, YP_005089045, XP_017624102, XP_017625312, YP_005088990, XP_017624465, XP_017608430, XP_017617817, XP_017638747, XP_017633611, XP_017607104, YP_005088995, XP_017643886, YP_005088994, XP_017635231, YP_005088999, XP_017619680, YP_005088997, YP_005088998, XP_017640980, XP_017631226, XP_017649430, XP_017607594, XP_017609775, XP_017631584, XP_017615411, XP_017634972, XP_017623849, XP_017623724, XP_017648909, XP_017606705, XP_017643582, XP_017607929, XP_017621531, XP_017643342, XP_017627515, XP_017617396, XP_017625212, XP_017620202, XP_017611509, XP_017634729, XP_017616989, XP_017611865, XP_017615668, XP_017634964, XP_017634841, XP_017640631, XP_017603202, XP_017612270, XP_017607924, XP_017649413, XP_017649779, XP_017617065, XP_017627424, XP_017629962, XP_017624273, XP_017612605, XP_017624270, XP_017632331, XP_017639525, XP_017643558, XP_017623987, XP_017639081, XP_017644893, XP_017602936, XP_017616087, XP_017623853, XP_017624386, XP_017620463, XP_017616883, XP_017624261, XP_017633779, XP_017629397, XP_017611766, XP_017611888, XP_017638427, XP_017612972, XP_017630021, XP_017612852, XP_017631477, XP_017606734, XP_017618270, XP_017646884, XP_017623880, XP_017641871, XP_017627444, XP_017649239, XP_017631947, XP_017641873, XP_017641994, XP_017650116, XP_017644234, XP_017633559, XP_017634647, XP_017626460, XP_017608496, XP_017603365, XP_017643821, XP_017620006, XP_017602953, XP_017624079, XP_017647155, XP_017625290, XP_017638599, XP_017630993, XP_017612881, XP_017611790, XP_017625968, XP_017619154, XP_017619155, XP_017647281, XP_017616689, XP_017630505, XP_017615923, XP_017612414, XP_017643809, XP_017613984, XP_017615128, XP_017636167, XP_017649908, XP_017635073, XP_017629549, XP_017626278, XP_017616475, XP_017623443, XP_017637968, XP_017611219, XP_017648191, XP_017612540, XP_017639101, XP_017607876, YP_005089020, XP_017646332, XP_017626701, XP_017625972, XP_017646216, XP_017621495, YP_005089022, XP_017616589, XP_017621492, XP_017627350, XP_017616228, XP_017612311, XP_017642414, XP_017623104, XP_017629447, XP_017646781, XP_017620191, XP_017615714, XP_017607650, XP_017611355, XP_017621849, XP_017641657, XP_017616484, XP_017627810, XP_017647403, XP_017623695, XP_017616127, XP_017631639, XP_017619519, XP_017615845, XP_017612337, XP_017606570, XP_017620986	435	598	1303	1.1019874678045594	0.9746029844728205	0.3652188217197793	0.3595300550263248
