Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_5	GO:1901605~alpha-amino acid metabolic process	5	11.627906976744185	0.007959270568198482	NP_998544, NP_998327, XP_009304601, NP_955905, NP_001014367	32	24	887	5.774739583333334	0.8565603455590923	1.0	1.0
GOTERM_BP_5	GO:0043604~amide biosynthetic process	8	18.6046511627907	0.09411221765090107	NP_001003728, NP_957466, NP_001076498, NP_001017866, NP_955905, NP_955817, NP_997927, NP_001007355	32	115	887	1.9282608695652175	0.9999999999629251	1.0	1.0
GOTERM_BP_5	GO:0043436~oxoacid metabolic process	7	16.27906976744186	0.13028718652400115	NP_958906, NP_998544, NP_998327, NP_001071022, NP_955905, NP_001004630, NP_001014367	32	101	887	1.9211014851485149	0.9999999999999981	1.0	1.0
GOTERM_BP_5	GO:0019752~carboxylic acid metabolic process	7	16.27906976744186	0.13028718652400115	NP_958906, NP_998544, NP_998327, NP_001071022, NP_955905, NP_001004630, NP_001014367	32	101	887	1.9211014851485149	0.9999999999999981	1.0	1.0
GOTERM_BP_5	GO:0001708~cell fate specification	2	4.651162790697675	0.13285064812135747	NP_956373, XP_009298988	32	4	887	13.859375	0.9999999999999991	1.0	1.0
GOTERM_BP_5	GO:0009620~response to fungus	2	4.651162790697675	0.16329417010129388	NP_001001730, NP_001004630	32	5	887	11.0875	1.0	1.0	1.0
GOTERM_BP_5	GO:0009072~aromatic amino acid family metabolic process	2	4.651162790697675	0.16329417010129388	NP_001071022, XP_009304601	32	5	887	11.0875	1.0	1.0	1.0
GOTERM_BP_5	GO:0046394~carboxylic acid biosynthetic process	3	6.976744186046512	0.19013481878178656	NP_998327, NP_001004630, NP_001014367	32	23	887	3.6154891304347827	1.0	1.0	1.0
GOTERM_BP_5	GO:0046165~alcohol biosynthetic process	2	4.651162790697675	0.1927021981364263	NP_001001730, NP_001004630	32	6	887	9.239583333333334	1.0	1.0	1.0
GOTERM_BP_5	GO:0045165~cell fate commitment	2	4.651162790697675	0.1927021981364263	NP_956373, XP_009298988	32	6	887	9.239583333333334	1.0	1.0	1.0
GOTERM_BP_5	GO:0016053~organic acid biosynthetic process	3	6.976744186046512	0.20309525013207166	NP_998327, NP_001004630, NP_001014367	32	24	887	3.46484375	1.0	1.0	1.0
GOTERM_BP_5	GO:0009069~serine family amino acid metabolic process	2	4.651162790697675	0.22110881772500912	NP_998327, NP_001014367	32	7	887	7.919642857142858	1.0	1.0	1.0
GOTERM_BP_5	GO:0018279~protein N-linked glycosylation via asparagine	2	4.651162790697675	0.22110881772500912	NP_958866, NP_001076498	32	7	887	7.919642857142858	1.0	1.0	1.0
GOTERM_BP_5	GO:0016126~sterol biosynthetic process	2	4.651162790697675	0.24854702982796728	NP_001001730, NP_001004630	32	8	887	6.9296875	1.0	1.0	1.0
GOTERM_BP_5	GO:0008203~cholesterol metabolic process	2	4.651162790697675	0.27504878417972006	NP_001001730, NP_001004630	32	9	887	6.159722222222222	1.0	1.0	1.0
GOTERM_BP_5	GO:1902652~secondary alcohol metabolic process	2	4.651162790697675	0.27504878417972006	NP_001001730, NP_001004630	32	9	887	6.159722222222222	1.0	1.0	1.0
GOTERM_BP_5	GO:1901607~alpha-amino acid biosynthetic process	2	4.651162790697675	0.27504878417972006	NP_998327, NP_001014367	32	9	887	6.159722222222222	1.0	1.0	1.0
GOTERM_BP_5	GO:0008652~cellular amino acid biosynthetic process	2	4.651162790697675	0.27504878417972006	NP_998327, NP_001014367	32	9	887	6.159722222222222	1.0	1.0	1.0
GOTERM_BP_5	GO:0006694~steroid biosynthetic process	2	4.651162790697675	0.27504878417972006	NP_001001730, NP_001004630	32	9	887	6.159722222222222	1.0	1.0	1.0
GOTERM_BP_5	GO:1901606~alpha-amino acid catabolic process	2	4.651162790697675	0.30064501161762636	NP_998544, XP_009304601	32	10	887	5.54375	1.0	1.0	1.0
