Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_5	GO:0042626~ATPase activity, coupled to transmembrane movement of substances	7	1.876675603217158	0.06401486717628355	XM_007828250, XM_007825184, XM_007820698, XM_007827233, XM_007821423, XM_007823862, XM_007823554	130	37	1645	2.393970893970894	0.9985690446061934	1.0	1.0
GOTERM_MF_5	GO:0015926~glucosidase activity	3	0.8042895442359249	0.07427120645449599	XM_007824096, XM_007819471, XM_007823600	130	6	1645	6.3269230769230775	0.9995192786216254	1.0	1.0
GOTERM_MF_5	GO:0015405~P-P-bond-hydrolysis-driven transmembrane transporter activity	7	1.876675603217158	0.07909057538140996	XM_007828250, XM_007825184, XM_007820698, XM_007827233, XM_007821423, XM_007823862, XM_007823554	130	39	1645	2.2712031558185406	0.9997132688740372	1.0	1.0
GOTERM_MF_5	GO:0008757~S-adenosylmethionine-dependent methyltransferase activity	5	1.3404825737265416	0.14096209749160132	XM_007821001, XM_007820251, XM_007819778, XM_007825111, XM_007824424	130	26	1645	2.4334319526627217	0.9999997067619687	1.0	1.0
GOTERM_MF_5	GO:0046943~carboxylic acid transmembrane transporter activity	4	1.0723860589812333	0.1429831661586945	XM_007820660, XM_007822703, XM_007820412, XM_007822106	130	17	1645	2.97737556561086	0.99999976775525	1.0	1.0
GOTERM_MF_5	GO:0102483~scopolin beta-glucosidase activity	2	0.5361930294906166	0.15073325494173243	XM_007824096, XM_007823600	130	2	1645	12.653846153846153	0.9999999055139387	1.0	1.0
GOTERM_MF_5	GO:0071949~FAD binding	3	0.8042895442359249	0.15289886728382274	XM_007820318, XM_007822985, XM_007820377	130	9	1645	4.217948717948718	0.9999999266177567	1.0	1.0
GOTERM_MF_5	GO:0008170~N-methyltransferase activity	3	0.8042895442359249	0.2714034169588967	XM_007825111, XM_007820202, XM_007824424	130	13	1645	2.920118343195266	0.9999999999999757	1.0	1.0
GOTERM_MF_5	GO:0004540~ribonuclease activity	3	0.8042895442359249	0.30152975458243236	XM_007821828, XM_007823393, XM_007820764	130	14	1645	2.7115384615384617	0.9999999999999997	1.0	1.0
GOTERM_MF_5	GO:0043565~sequence-specific DNA binding	5	1.3404825737265416	0.3107655417653319	XM_007825358, XM_007827745, XM_007821818, XM_007820180, XM_007826775	130	36	1645	1.7574786324786327	0.9999999999999999	1.0	1.0
