Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_5	GO:0034645~cellular macromolecule biosynthetic process	137	22.459016393442624	8.234592724628854E-5	NP_001071079, NP_956320, NP_938177, NP_956322, NP_956323, NP_956324, NP_571374, NP_694499, NP_997949, NP_001166972, NP_571009, NP_998369, NP_571126, NP_955994, NP_001035141, NP_571923, NP_956550, NP_001002866, NP_956796, NP_001002108, NP_919368, NP_001003432, NP_996966, NP_957128, XP_694180, NP_001003435, NP_775340, NP_001017545, NP_001019605, NP_775342, XP_001339146, NP_963878, NP_957354, NP_001005589, NP_001002079, NP_001004497, NP_998422, NP_001007121, XP_009302001, NP_571024, NP_775370, NP_997734, NP_571542, NP_001001819, NP_001189439, NP_571949, NP_001123664, NP_001073505, NP_956372, NP_001124064, NP_001018497, NP_001070070, NP_956018, NP_001082832, NP_998809, NP_957508, NP_001013523, NP_571655, NP_998258, NP_001035132, NP_998139, NP_001019906, NP_997844, NP_001186938, NP_956243, XP_686801, NP_001002139, NP_957059, NP_001025257, NP_997908, NP_001004674, NP_001034895, NP_998443, NP_998322, NP_571323, NP_571962, NP_570994, NP_998284, NP_991132, NP_001103591, XP_005169984, NP_957293, NP_956196, NP_957044, NP_957046, NP_001003514, NP_922916, NP_956874, NP_999917, NP_957447, NP_001243120, NP_571160, NP_998158, NP_998278, NP_001093906, NP_955943, NP_997900, NP_571311, NP_001277022, NP_001032766, NP_998272, NP_571959, NP_998155, NP_957031, NP_001153631, NP_001070200, NP_956341, NP_956345, NP_956863, NP_001003763, NP_001074120, NP_998616, NP_958889, NP_956900, XP_001920308, NP_919353, NP_955930, NP_001034196, NP_571861, NP_942101, XP_005163029, XP_696748, NP_001119929, NP_998068, NP_957146, NP_001070030, NP_957026, NP_001001593, NP_997915, XP_005172880, NP_571339, NP_955889, NP_001001590, NP_998293, NP_001313320, NP_001032501, NP_001038447	423	233	887	1.2329569090595482	0.0872041657840047	0.04968174009255393	0.049592061861339944
GOTERM_BP_5	GO:0006412~translation	70	11.475409836065573	1.345173468209944E-4	NP_001186938, NP_001071079, NP_956243, NP_956320, NP_001002139, NP_957059, NP_956322, NP_956323, NP_956324, NP_997949, NP_997908, NP_998322, NP_998369, NP_001035141, NP_998284, NP_001103591, NP_957293, NP_957044, NP_956550, NP_957046, NP_001002866, NP_956796, NP_956874, NP_001003432, NP_957447, NP_001003435, NP_998158, NP_998278, NP_001093906, NP_955943, NP_775340, NP_001277022, NP_001032766, NP_775342, NP_998272, NP_963878, NP_998155, NP_957031, NP_001070200, NP_956341, NP_957354, NP_001005589, NP_001002079, NP_998616, NP_001003763, NP_001004497, NP_998422, NP_955930, NP_775370, NP_942101, XP_005163029, NP_001001819, XP_696748, NP_001119929, NP_001189439, NP_998068, NP_957146, NP_957026, NP_001001593, NP_001070070, NP_956018, NP_998809, NP_957508, NP_001013523, NP_955889, NP_571655, NP_001001590, NP_001035132, NP_001019906, NP_998293	423	107	887	1.37182121473233	0.13847848182729727	0.04968174009255393	0.049592061861339944
GOTERM_BP_5	GO:0043043~peptide biosynthetic process	70	11.475409836065573	1.345173468209944E-4	NP_001186938, NP_001071079, NP_956243, NP_956320, NP_001002139, NP_957059, NP_956322, NP_956323, NP_956324, NP_997949, NP_997908, NP_998322, NP_998369, NP_001035141, NP_998284, NP_001103591, NP_957293, NP_957044, NP_956550, NP_957046, NP_001002866, NP_956796, NP_956874, NP_001003432, NP_957447, NP_001003435, NP_998158, NP_998278, NP_001093906, NP_955943, NP_775340, NP_001277022, NP_001032766, NP_775342, NP_998272, NP_963878, NP_998155, NP_957031, NP_001070200, NP_956341, NP_957354, NP_001005589, NP_001002079, NP_998616, NP_001003763, NP_001004497, NP_998422, NP_955930, NP_775370, NP_942101, XP_005163029, NP_001001819, XP_696748, NP_001119929, NP_001189439, NP_998068, NP_957146, NP_957026, NP_001001593, NP_001070070, NP_956018, NP_998809, NP_957508, NP_001013523, NP_955889, NP_571655, NP_001001590, NP_001035132, NP_001019906, NP_998293	423	107	887	1.37182121473233	0.13847848182729727	0.04968174009255393	0.049592061861339944
GOTERM_BP_5	GO:0006518~peptide metabolic process	74	12.131147540983607	2.7023511774201836E-4	NP_001186938, NP_001071079, NP_956243, NP_956320, NP_001002139, NP_957059, NP_956322, NP_956323, NP_956324, NP_997949, NP_997908, NP_998322, NP_998369, NP_001035141, NP_998284, NP_001103591, NP_957293, NP_957044, NP_956550, NP_957046, NP_001002866, NP_956796, NP_956874, NP_001003432, NP_957447, NP_001003435, NP_998158, NP_998278, NP_998113, NP_001093906, NP_955943, NP_775340, NP_001277022, NP_001032766, NP_775342, NP_998272, NP_963878, NP_998155, NP_957031, NP_001070200, NP_956341, NP_957354, NP_001005589, NP_001002079, NP_998616, NP_001003763, NP_001004497, NP_998422, NP_955930, NP_775370, NP_942101, XP_005163029, NP_001001819, XP_696748, NP_001119929, NP_001189439, NP_998068, NP_001314691, NP_957146, NP_957026, NP_001001593, NP_001070070, NP_956018, NP_998809, NP_957508, NP_001013523, NP_955889, NP_571655, NP_001001590, NP_001035132, NP_001019906, NP_998293, NP_998451, NP_001013487	423	116	887	1.3376946278633732	0.25878235192595156	0.07485512761453908	0.07472001005566807
GOTERM_BP_5	GO:0043604~amide biosynthetic process	71	11.639344262295081	0.0015230182266822694	NP_001186938, NP_001071079, NP_956243, NP_956320, NP_001002139, NP_957059, NP_956322, NP_956323, NP_956324, NP_997949, NP_997908, NP_998322, NP_998369, NP_001035141, NP_998284, NP_001103591, NP_957293, NP_957044, NP_956550, NP_957046, NP_001002866, NP_956796, NP_956874, NP_001003432, NP_957447, NP_001003435, NP_998158, NP_998278, NP_001093906, NP_955943, NP_997865, NP_775340, NP_001277022, NP_001032766, NP_775342, NP_998272, NP_963878, NP_998155, NP_957031, NP_001070200, NP_956341, NP_957354, NP_001005589, NP_001002079, NP_998616, NP_001003763, NP_001004497, NP_998422, NP_955930, NP_775370, NP_942101, XP_005163029, NP_001001819, XP_696748, NP_001119929, NP_001189439, NP_998068, NP_957146, NP_957026, NP_001001593, NP_001070070, NP_956018, NP_998809, NP_957508, NP_001013523, NP_955889, NP_571655, NP_001001590, NP_001035132, NP_001019906, NP_998293	423	115	887	1.2946243190461506	0.8152571740903007	0.3375008390327909	0.336891631742118
GOTERM_BP_5	GO:0022618~ribonucleoprotein complex assembly	21	3.4426229508196724	0.004236099436904742	NP_957440, NP_957044, NP_956990, NP_956320, NP_001002139, NP_957059, NP_001001593, NP_001003763, NP_957508, NP_998158, NP_001009990, NP_001001590, NP_001019906, NP_998293, NP_001277022, NP_001001819, NP_775342, NP_963878, NP_957293, NP_001166027, NP_998155	423	27	887	1.6309429997373261	0.9909371135296149	0.7822663626817422	0.7808543295361074
GOTERM_BP_5	GO:0042255~ribosome assembly	12	1.9672131147540985	0.006704451215835181	NP_998158, NP_957044, NP_957440, NP_956320, NP_001001590, NP_001002139, NP_957059, NP_001001819, NP_001001593, NP_775342, NP_963878, NP_001166027	423	13	887	1.9356246590289143	0.9994206164869238	0.9382637665546983	0.9365701496475599
GOTERM_BP_5	GO:0044267~cellular protein metabolic process	132	21.639344262295083	0.006774467628553779	NP_957252, NP_001315273, NP_001071079, NP_956320, NP_956322, NP_956323, NP_956324, NP_997949, XP_005173001, NP_998369, NP_919375, NP_955994, NP_001035141, XP_005162356, NP_998241, NP_001002609, NP_001071068, NP_956550, NP_001002866, NP_956796, NP_001003432, NP_996966, NP_858048, NP_001003435, NP_998113, NP_775340, NP_998196, NP_001019605, NP_775342, NP_963878, NP_957084, NP_571637, NP_998232, XP_005169569, NP_957354, NP_001005589, NP_001268852, NP_001002079, NP_956148, NP_001268853, NP_001026843, NP_001004497, NP_998422, NP_001299842, NP_955857, NP_001008573, XP_009302001, NP_775370, NP_001001819, NP_001189439, XP_003199888, NP_001070231, NP_001070070, NP_956018, NP_001082832, NP_001007379, NP_998809, NP_957508, NP_001013523, NP_571655, NP_919383, NP_998258, NP_001035132, NP_001019906, NP_001013487, NP_001186938, NP_956243, NP_001002139, NP_957059, XP_689990, NP_571450, NP_997908, NP_998202, NP_001032199, NP_998322, NP_001116316, NP_998284, XP_696325, NP_001103591, NP_957293, NP_957044, NP_957046, NP_922916, NP_956874, NP_957447, NP_998158, NP_998278, NP_001093906, NP_955943, NP_997900, NP_001277022, NP_001032766, NP_001017624, NP_998272, NP_998034, NP_998155, NP_957031, NP_001070200, NP_956341, NP_956222, NP_001003889, NP_957037, NP_956345, NP_001003763, NP_998616, NP_958889, NP_956866, NP_937789, NP_956900, XP_003200552, NP_955930, NP_942101, XP_005163029, XP_696748, NP_001119929, NP_998184, NP_998066, NP_001093519, NP_998068, NP_001002728, NP_001073421, NP_957146, NP_001070030, NP_957026, NP_001001593, XP_005159798, XP_005172880, NP_001288257, NP_955889, NP_001001590, NP_001012516, NP_998293, NP_998331	423	240	887	1.1533096926713948	0.999464146897037	0.9382637665546983	0.9365701496475599
GOTERM_BP_5	GO:0034654~nucleobase-containing compound biosynthetic process	75	12.295081967213115	0.007943848748580049	XP_686801, NP_938177, NP_571374, NP_694499, NP_001004674, XP_002661386, NP_001005960, NP_001034895, NP_001166972, NP_571009, NP_998443, NP_571323, NP_571962, NP_571126, NP_570994, NP_997833, NP_991132, XP_005169984, NP_571923, NP_956196, NP_001003514, NP_957489, NP_001002108, NP_996966, XP_005158562, NP_919368, NP_999917, XP_694180, NP_001243120, NP_571160, NP_998476, NP_571311, NP_001017545, NP_998193, NP_991284, XP_001339146, NP_571959, NP_001019600, NP_001153631, NP_001003843, NP_956863, NP_001074120, NP_958889, XP_009300100, NP_956900, XP_001920308, NP_001007121, NP_919353, NP_571024, NP_001034196, NP_571861, NP_571542, NP_001119929, NP_571949, NP_001123664, NP_001073505, NP_957470, XP_009294068, NP_956372, NP_001124064, NP_001018497, NP_997915, NP_001004666, NP_001082832, XP_005172880, NP_999985, NP_571339, NP_955889, NP_998139, NP_997844, NP_001313320, NP_001070823, NP_001032501, NP_956051, NP_001038447	423	128	887	1.228667996453901	0.9998547320646026	0.9411292498516326	0.9394304605919727
GOTERM_BP_5	GO:0010628~positive regulation of gene expression	15	2.459016393442623	0.008493946298299934	NP_957146, NP_919368, NP_001074120, NP_997915, NP_001082832, NP_001034895, NP_571339, NP_571323, NP_919353, NP_571311, NP_001313320, NP_571949, NP_001073505, NP_571923, NP_997782	423	18	887	1.7474389282899923	0.9999214275783215	0.9411292498516326	0.9394304605919727
