Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_3	GO:0016798~hydrolase activity, acting on glycosyl bonds	9	0.9868421052631579	0.0718639268251903	XP_017631719, XP_017624467, XP_017626238, XP_017643167, XP_017623850, XP_017619456, XP_017612087, XP_017623194, XP_017619592	206	43	1965	1.9965003386769022	0.9927160147371705	1.0	1.0
GOTERM_MF_3	GO:0016765~transferase activity, transferring alkyl or aryl (other than methyl) groups	4	0.43859649122807015	0.12158499481263894	XP_017607643, XP_017609759, XP_017610744, XP_017608492	206	12	1965	3.1796116504854366	0.9998076096763087	1.0	1.0
GOTERM_MF_3	GO:0016684~oxidoreductase activity, acting on peroxide as acceptor	4	0.43859649122807015	0.17284221372974018	XP_017608215, XP_017641771, XP_017621483, XP_017642610	206	14	1965	2.7253814147018027	0.9999963622578881	1.0	1.0
GOTERM_MF_3	GO:0016746~transferase activity, transferring acyl groups	8	0.8771929824561403	0.3128799890912704	XP_017649139, XP_017623908, XP_017610592, XP_017623859, XP_017624283, XP_017634713, XP_017640817, XP_017631507	206	53	1965	1.4398241436160466	0.999999999982455	1.0	1.0
GOTERM_MF_3	GO:0030170~pyridoxal phosphate binding	4	0.43859649122807015	0.3177814881003735	XP_017623126, XP_017632058, XP_017605601, XP_017611260	206	19	1965	2.00817577925396	0.9999999999890616	1.0	1.0
GOTERM_MF_3	GO:0016741~transferase activity, transferring one-carbon groups	10	1.0964912280701753	0.3187293584826334	XP_017647047, XP_017606311, XP_017631586, XP_017615104, XP_017615685, XP_017618348, XP_017630534, XP_017611260, XP_017605987, XP_017639021	206	71	1965	1.3434978804868045	0.9999999999900208	1.0	1.0
GOTERM_MF_3	GO:0004602~glutathione peroxidase activity	2	0.21929824561403508	0.3566522318200902	XP_017608215, XP_017642610	206	4	1965	4.769417475728155	0.9999999999997723	1.0	1.0
GOTERM_MF_3	GO:0016705~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	5	0.5482456140350876	0.40803608688090026	XP_017616351, XP_017647255, XP_017646480, XP_017603710, XP_017637490	206	31	1965	1.5385217663639212	0.9999999999999991	1.0	1.0
GOTERM_MF_3	GO:0046906~tetrapyrrole binding	8	0.8771929824561403	0.41998530725065364	XP_017617351, XP_017616351, XP_017641771, XP_017621483, XP_017646480, XP_017603698, XP_017603710, XP_017637490	206	59	1965	1.293401349350008	0.9999999999999998	1.0	1.0
GOTERM_MF_3	GO:0000996~core DNA-dependent RNA polymerase binding promoter specificity activity	2	0.21929824561403508	0.42390684297684744	XP_017636101, XP_017612734	206	5	1965	3.8155339805825235	0.9999999999999999	1.0	1.0
