Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_3	GO:0043169~cation binding	80	14.492753623188406	0.005250668856121661	XM_007827746, XM_007818591, XM_007825645, XM_007822572, XM_007822372, XM_007824396, XM_007824791, XM_011413202, XM_007823064, XM_011412512, XM_007827905, XM_007821206, XM_007822779, XM_007827740, XM_007822213, XM_007824798, XM_007821201, XM_007827071, XM_007825093, XM_007821409, XM_007827076, XM_007818228, XM_007818028, XM_007825414, XM_007820242, XM_007827836, XM_007819078, XM_007826308, XM_007824164, XM_007823590, XM_007827155, XM_007822789, XM_007821612, XM_007822984, XM_007823599, XM_007822146, XM_007823313, XM_007827085, XM_007820922, XM_007820802, XM_007827163, XM_007824293, XM_007819107, XM_007826907, XM_007825819, XM_007818178, XM_007820252, XM_007826910, XM_007820294, XM_007820096, XM_007823000, XM_007825306, XM_007824859, XM_007827485, XM_007820338, XM_007821702, XM_007821669, XM_007823722, XM_007821102, XM_007826996, XM_007820695, XM_007826040, XM_007819696, XM_007819894, XM_007819137, XM_007818524, XM_007825237, XM_007822287, XM_011413376, XM_007819211, XM_007826561, XM_007822768, XM_007822525, XM_007823536, XM_007821797, XM_007824303, XM_007822520, XM_007821958, XM_007821959, XM_007820626	287	491	2283	1.2960820908761894	0.3437150208388745	0.4200535084897329	0.4200535084897329
GOTERM_MF_3	GO:0038023~signaling receptor activity	4	0.7246376811594203	0.06738348940344116	XM_007820296, XM_011412909, XM_007826808, XM_007828090	287	8	2283	3.977351916376307	0.9962308104509794	1.0	1.0
GOTERM_MF_3	GO:0101005~ubiquitinyl hydrolase activity	5	0.9057971014492754	0.0872698727794718	XM_007827163, XM_007822736, XM_007825332, XM_007821145, XM_007826413	287	14	2283	2.8409656545545046	0.9993279665813517	1.0	1.0
GOTERM_MF_3	GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding	13	2.355072463768116	0.09548821418338779	XM_007826910, XM_007820294, XM_007823000, XM_007822372, XM_011412512, XM_007827905, XM_007822789, XM_007827740, XM_007822984, XM_007822520, XM_007825093, XM_007827076, XM_007820922	287	64	2283	1.6157992160278747	0.9996740594393354	1.0	1.0
GOTERM_MF_3	GO:0008233~peptidase activity	18	3.260869565217391	0.1288551290965601	XM_007824488, XM_007824453, XM_007821350, XM_007824365, XM_007819893, XM_007822736, XM_007826561, XM_007822525, XM_007822327, XM_007825332, XM_007824303, XM_007820892, XM_007821145, XM_007826413, XM_007821102, XM_007826996, XM_007827163, XM_007826907	287	102	2283	1.4037712646034022	0.9999838849849518	1.0	1.0
GOTERM_MF_3	GO:0004497~monooxygenase activity	7	1.2681159420289856	0.1458135378011677	XM_007826527, XM_007824911, XM_007826419, XM_007819107, XM_007820338, XM_007827674, XM_007821797	287	29	2283	1.9201009251471828	0.9999966563968238	1.0	1.0
GOTERM_MF_3	GO:0016830~carbon-carbon lyase activity	6	1.0869565217391304	0.1729994488492956	XM_007820252, XM_007823397, XM_007821493, XM_007827836, XM_007822659, XM_007820287	287	24	2283	1.9886759581881535	0.9999997485428905	1.0	1.0
GOTERM_MF_3	GO:0000155~phosphorelay sensor kinase activity	3	0.5434782608695652	0.2151984729478293	XM_007820296, XM_007826808, XM_007828090	287	7	2283	3.4091587854654057	0.9999999961912089	1.0	1.0
GOTERM_MF_3	GO:0022803~passive transmembrane transporter activity	3	0.5434782608695652	0.31375107725587315	XM_007824288, XM_007823042, XM_007821506	287	9	2283	2.6515679442508717	0.9999999999999171	1.0	1.0
GOTERM_MF_3	GO:0016817~hydrolase activity, acting on acid anhydrides	27	4.891304347826087	0.32020190599826803	XM_007827746, XM_007822299, XM_007824498, XM_007824453, XM_007823284, XM_007823064, XM_007826298, XM_007823601, XM_007821027, XM_007821486, XM_007818288, XM_007818524, XM_007819110, XM_007824842, XM_007820242, XM_007819099, XM_007824365, XM_007820141, XM_007820081, XM_007825594, XM_007827772, XM_007821477, XM_007825213, XM_007821795, XM_007827060, XM_007823419, XM_007818138	287	188	2283	1.1424308695974499	0.999999999999961	1.0	1.0
GOTERM_MF_3	GO:0016860~intramolecular oxidoreductase activity	4	0.7246376811594203	0.32406405563303164	XM_007821493, XM_007824450, XM_007826040, XM_007823548	287	16	2283	1.9886759581881535	0.9999999999999754	1.0	1.0
GOTERM_MF_3	GO:0016866~intramolecular transferase activity	3	0.5434782608695652	0.40944039371942315	XM_007823684, XM_007819451, XM_007822768	287	11	2283	2.1694646816598038	1.0	1.0	1.0
GOTERM_MF_3	GO:0003676~nucleic acid binding	70	12.681159420289855	0.4163314773267079	XM_007824874, XM_007822572, XM_011413202, XM_007823064, XM_007826938, XM_007821845, XM_007827740, XM_007826133, XM_007822777, XM_007820431, XM_007820717, XM_007821409, XM_007822617, XM_007827076, XM_007825095, XM_007818026, XM_007819877, XM_007823071, XM_007819110, XM_007824365, XM_007824045, XM_007821890, XM_007818022, XM_007821899, XM_007827155, XM_007822789, XM_007821612, XM_007820003, XM_007822984, XM_007825213, XM_007823599, XM_007821376, XM_007820046, XM_007819825, XM_007827085, XM_007820802, XM_007825819, XM_007818178, XM_007821463, XM_007824498, XM_007826910, XM_007820294, XM_007823284, XM_007823846, XM_007823722, XM_007820697, XM_007821027, XM_007822752, XM_007820695, XM_007821421, XM_011413196, XM_007819099, XM_007820141, XM_007818043, XM_007820986, XM_007820700, XM_007823737, XM_007825594, XM_007822569, XM_007821831, XM_007826321, XM_007825474, XM_007821356, XM_007826322, XM_007825037, XM_007822202, XM_007825631, XM_007822520, XM_007821795, XM_007821914	287	536	2283	1.0388605751729159	1.0	1.0	1.0
GOTERM_MF_3	GO:0016879~ligase activity, forming carbon-nitrogen bonds	6	1.0869565217391304	0.42509632782977913	XM_007827077, XM_007819239, XM_007822118, XM_007823623, XM_007821213, XM_007823598	287	34	2283	1.4037712646034024	1.0	1.0	1.0
GOTERM_MF_3	GO:0016757~transferase activity, transferring glycosyl groups	9	1.6304347826086956	0.4636885275750778	XM_007820609, XM_007822772, XM_007819110, XM_007820738, XM_007821646, XM_007820425, XM_007824525, XM_007820342, XM_007823313	287	59	2283	1.2134293982165003	1.0	1.0	1.0
GOTERM_MF_3	GO:0001882~nucleoside binding	61	11.05072463768116	0.4957690243771378	XM_007827746, XM_007824874, XM_007822332, XM_007822299, XM_007824791, XM_007823064, XM_007824470, XM_007821449, XM_007826298, XM_007823623, XM_007821486, XM_007821123, XM_007827071, XM_007819877, XM_007819313, XM_007818622, XM_007819110, XM_007824842, XM_007820242, XM_007824365, XM_011413079, XM_007820081, XM_007827077, XM_007825373, XM_007823117, XM_007821213, XM_007827433, XM_007825213, XM_007820287, XM_007822267, XM_007821619, XM_007819309, XM_007823639, XM_007818654, XM_007818854, XM_007818138, XM_007824498, XM_007824333, XM_007824453, XM_007823284, XM_007823601, XM_007823402, XM_007823369, XM_007821027, XM_007823401, XM_007822234, XM_007823565, XM_007826083, XM_007818288, XM_007819099, XM_007820262, XM_007820141, XM_007821479, XM_007825594, XM_007827772, XM_007821477, XM_007821356, XM_007821795, XM_007827060, XM_007823419, XM_007826808	287	475	2283	1.0215514395745462	1.0	1.0	1.0
GOTERM_MF_3	GO:0030170~pyridoxal phosphate binding	5	0.9057971014492754	0.5014439192962146	XM_007818309, XM_007826822, XM_007823397, XM_007821958, XM_007821903	287	29	2283	1.371500660819416	1.0	1.0	1.0
GOTERM_MF_3	GO:0008047~enzyme activator activity	3	0.5434782608695652	0.5392550650530518	XM_007824440, XM_007822516, XM_007827981	287	14	2283	1.7045793927327029	1.0	1.0	1.0
GOTERM_MF_3	GO:0019208~phosphatase regulator activity	2	0.36231884057971014	0.5524685506877582	XM_007824169, XM_007825430	287	6	2283	2.651567944250871	1.0	1.0	1.0
GOTERM_MF_3	GO:0050662~coenzyme binding	12	2.1739130434782608	0.553487245495482	XM_007822244, XM_007820096, XM_007827836, XM_007819211, XM_007826419, XM_007821094, XM_007822218, XM_007818585, XM_007823303, XM_007823017, XM_007819488, XM_007819235	287	88	2283	1.0847323408299019	1.0	1.0	1.0
