Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_3	GO:0048038~quinone binding	8	0.3017729158807997	0.01759865987802959	YP_005089042, YP_005089052, YP_005089003, YP_005089047, YP_005089046, YP_005089002, YP_005089048, YP_005089050	575	11	1979	2.503083003952569	0.7940716145121217	1.0	1.0
GOTERM_MF_3	GO:0016798~hydrolase activity, acting on glycosyl bonds	18	0.6789890607317993	0.0577220632095376	XP_017643582, XP_017649413, XP_017624459, XP_017616790, XP_017620463, XP_017628003, XP_017633779, XP_017631956, XP_017628192, XP_017633611, XP_017635343, XP_017606276, XP_017607801, XP_017607006, XP_017607447, XP_017611191, XP_017615195, XP_017626715	575	41	1979	1.5110074231177095	0.994965770757721	1.0	1.0
GOTERM_MF_3	GO:0016651~oxidoreductase activity, acting on NAD(P)H	13	0.49038098830629956	0.10375909526288438	YP_005089042, YP_005089052, YP_005089003, YP_005089047, XP_017624354, YP_005089046, YP_005089002, XP_017619850, YP_005089055, YP_005089050, XP_017608260, XP_017647318, YP_005089048	575	29	1979	1.542848575712144	0.9999416818467963	1.0	1.0
GOTERM_MF_3	GO:0046906~tetrapyrrole binding	22	0.8298755186721992	0.12115425492278598	YP_005089053, XP_017617396, XP_017623474, XP_017623496, XP_017642762, YP_005089012, XP_017643235, XP_017647363, XP_017616747, XP_017632923, XP_017625290, XP_017640864, XP_017607830, XP_017605652, YP_005088995, YP_005088994, YP_005089015, YP_005088999, XP_017609719, XP_017606969, XP_017607737, YP_005088998	575	57	1979	1.3283905415713195	0.9999898087784066	1.0	1.0
GOTERM_MF_3	GO:0051536~iron-sulfur cluster binding	12	0.4526593738211996	0.1925740879349739	XP_017623521, YP_005089003, XP_017619850, XP_017616478, YP_005089048, XP_017633729, YP_005088999, XP_017648210, XP_017646891, XP_017649430, XP_017623616, YP_005088998	575	29	1979	1.4241679160419791	0.9999999946031697	1.0	1.0
GOTERM_MF_3	GO:0016769~transferase activity, transferring nitrogenous groups	7	0.2640513013956997	0.19428623883566837	XP_017646125, XP_017602879, XP_017630573, XP_017603344, XP_017634406, XP_017631437, XP_017630964	575	14	1979	1.7208695652173913	0.9999999955322432	1.0	1.0
GOTERM_MF_3	GO:0016866~intramolecular transferase activity	7	0.2640513013956997	0.19428623883566837	XP_017642261, XP_017615668, XP_017623018, XP_017626501, XP_017626596, XP_017620006, XP_017619383	575	14	1979	1.7208695652173913	0.9999999955322432	1.0	1.0
GOTERM_MF_3	GO:0005088~Ras guanyl-nucleotide exchange factor activity	3	0.1131648434552999	0.20344695356348344	XP_017627116, XP_017603102, XP_017606600	575	3	1979	3.4417391304347826	0.9999999983852379	1.0	1.0
GOTERM_MF_3	GO:0016757~transferase activity, transferring glycosyl groups	20	0.7544322897019993	0.21895837146284247	XP_017643351, XP_017621531, XP_017625972, XP_017620463, XP_017619238, XP_017649582, XP_017611888, XP_017609168, XP_017608442, XP_017631384, XP_017641509, XP_017612651, XP_017633611, XP_017636167, XP_017611551, XP_017637058, XP_017635343, XP_017631378, XP_017641467, XP_017607105	575	55	1979	1.2515415019762846	0.9999999997194552	1.0	1.0
GOTERM_MF_3	GO:0004497~monooxygenase activity	11	0.4149377593360996	0.23380147507127677	XP_017640864, XP_017623496, XP_017606919, XP_017642762, XP_017626245, YP_005089007, XP_017633729, XP_017648210, XP_017616747, XP_017611447, XP_017607737	575	27	1979	1.4021900161030594	0.9999999999491399	1.0	1.0
GOTERM_MF_3	GO:0043021~ribonucleoprotein complex binding	5	0.18860807242549982	0.24752862779844192	XP_017613984, XP_017646181, XP_017602953, XP_017639022, XP_017608094	575	9	1979	1.9120772946859903	0.9999999999898233	1.0	1.0
GOTERM_MF_3	GO:0022891~substrate-specific transmembrane transporter activity	24	0.9053187476423992	0.3014073250415952	XP_017602978, XP_017631905, XP_017627347, XP_017606908, XP_017630323, XP_017624242, XP_017611979, XP_017646472, XP_017642050, XP_017612656, XP_017615955, XP_017634980, XP_017604176, XP_017638323, XP_017614101, XP_017634884, XP_017637731, YP_005088984, YP_005088985, YP_005089006, XP_017607996, YP_005088986, XP_017624319, YP_005088987	575	71	1979	1.163404776484997	0.9999999999999863	1.0	1.0
GOTERM_MF_3	GO:0022804~active transmembrane transporter activity	16	0.6035458317615994	0.3093492032610152	XP_017616690, XP_017623017, XP_017627347, XP_017630323, XP_017624242, XP_017634980, XP_017604176, XP_017638323, XP_017634258, XP_017634884, XP_017637731, YP_005088984, XP_017612691, YP_005088985, YP_005089006, YP_005088987	575	45	1979	1.2237294685990339	0.999999999999995	1.0	1.0
GOTERM_MF_3	GO:0016721~oxidoreductase activity, acting on superoxide radicals as acceptor	4	0.15088645794039984	0.3303145681245886	XP_017650238, XP_017607671, XP_017619420, XP_017616277	575	7	1979	1.9667080745341616	0.9999999999999997	1.0	1.0
GOTERM_MF_3	GO:0043169~cation binding	128	4.828366654092795	0.33397248800440354	XP_017647335, XP_017623521, XP_017619420, XP_017616277, XP_017650225, XP_017633729, XP_017630734, XP_017607671, XP_017631268, XP_017605652, XP_017635102, XP_017638853, XP_017610165, XP_017603079, XP_017626638, XP_017650238, XP_017648797, XP_017630969, XP_017620367, XP_017646536, XP_017632227, XP_017637911, XP_017615589, XP_017602790, XP_017611660, XP_017603365, XP_017642611, XP_017645724, XP_017619383, XP_017642261, XP_017643351, XP_017649976, XP_017646342, XP_017606409, XP_017641055, XP_017643235, XP_017649693, XP_017626099, XP_017626251, XP_017631845, XP_017649451, XP_017625290, XP_017611277, XP_017632258, XP_017631167, XP_017606523, XP_017607737, XP_017606818, XP_017647444, XP_017623018, XP_017643000, XP_017623496, XP_017621074, XP_017611447, XP_017610998, XP_017637937, XP_017606493, XP_017633611, XP_017649907, YP_005088995, XP_017607589, YP_005088994, YP_005089048, YP_005088999, YP_005088998, XP_017616472, XP_017622990, XP_017623561, XP_017626278, XP_017619622, XP_017642762, YP_005089012, XP_017631623, XP_017640980, XP_017616478, XP_017607082, XP_017607353, XP_017637448, XP_017640864, XP_017620338, XP_017639067, YP_005089015, XP_017634175, XP_017603604, XP_017617396, XP_017625972, XP_017625970, XP_017626663, XP_017616222, XP_017619859, XP_017613529, XP_017616747, XP_017615304, XP_017634841, XP_017639217, XP_017612793, XP_017612276, XP_017606712, XP_017606313, XP_017630718, XP_017629447, XP_017618799, XP_017624393, XP_017624270, XP_017608226, XP_017637465, XP_017639489, XP_017632214, XP_017636498, XP_017606563, XP_017609719, XP_017611191, XP_017632052, XP_017620220, YP_005089003, XP_017616484, XP_017624386, XP_017650016, XP_017640574, XP_017613828, XP_017647363, XP_017637734, XP_017639636, YP_005089007, XP_017609965, XP_017623616, XP_017626968, XP_017608759	575	424	1979	1.0390155865463495	0.9999999999999998	1.0	1.0
GOTERM_MF_3	GO:0016875~ligase activity, forming carbon-oxygen bonds	6	0.2263296869105998	0.3831500245003153	XP_017607929, XP_017646216, XP_017637994, XP_017623443, XP_017603221, XP_017611509	575	14	1979	1.4750310559006212	1.0	1.0	1.0
GOTERM_MF_3	GO:0016817~hydrolase activity, acting on acid anhydrides	35	1.3202565069784986	0.4089905111155762	XP_017616690, XP_017627347, XP_017626278, XP_017645973, XP_017621161, XP_017613915, XP_017619306, XP_017646181, XP_017633567, XP_017638115, YP_005088984, XP_017605852, XP_017636075, YP_005088985, XP_017642526, YP_005088987, XP_017645937, XP_017623436, XP_017623017, XP_017633659, XP_017632966, XP_017624242, XP_017630825, XP_017634201, XP_017637711, XP_017611289, XP_017634980, XP_017604492, XP_017612376, XP_017615589, XP_017604176, XP_017638323, XP_017637731, XP_017612691, YP_005089006	575	112	1979	1.0755434782608697	1.0	1.0	1.0
GOTERM_MF_3	GO:0016772~transferase activity, transferring phosphorus-containing groups	67	2.5273481705016976	0.40972413989106404	XP_017649279, XP_017629469, XP_017619307, XP_017623042, XP_017631787, XP_017607040, XP_017649354, XP_017633407, XP_017607353, XP_017639705, XP_017609693, XP_017634011, XP_017637208, XP_017631543, XP_017638535, XP_017631068, XP_017608289, XP_017641873, XP_017643259, XP_017648903, XP_017624122, XP_017646536, XP_017616221, XP_017646379, XP_017642575, XP_017634647, XP_017646097, XP_017615304, XP_017623519, XP_017643821, XP_017603365, XP_017606712, XP_017622948, YP_005089031, XP_017606409, XP_017624079, XP_017627105, XP_017623066, XP_017602807, XP_017649573, XP_017637903, XP_017620193, XP_017649451, XP_017609355, XP_017631241, XP_017642629, XP_017631164, XP_017608067, XP_017610588, XP_017639644, XP_017638599, XP_017640841, XP_017638992, YP_005088989, XP_017606408, XP_017623987, XP_017606923, XP_017620140, XP_017623534, YP_005088991, XP_017623014, YP_005088990, XP_017637937, XP_017633930, XP_017622849, XP_017620902, XP_017625957	575	221	1979	1.043423175290183	1.0	1.0	1.0
GOTERM_MF_3	GO:0008233~peptidase activity	33	1.2448132780082988	0.4540667530211417	XP_017619266, XP_017626712, XP_017603916, XP_017642222, XP_017627444, XP_017628214, XP_017649693, XP_017624297, XP_017617304, XP_017612827, XP_017649057, XP_017630778, XP_017613977, XP_017615659, XP_017608545, XP_017650163, XP_017642887, XP_017642449, XP_017607519, XP_017632052, XP_017607813, XP_017627810, XP_017626663, XP_017616882, XP_017624102, XP_017620122, XP_017616127, XP_017612414, XP_017603083, XP_017606372, XP_017631651, XP_017635077, XP_017607924	575	107	1979	1.0614709467696057	1.0	1.0	1.0
GOTERM_MF_3	GO:0019213~deacetylase activity	2	0.07544322897019992	0.49606868070189786	XP_017642414, XP_017642689	575	2	1979	3.4417391304347826	1.0	1.0	1.0
GOTERM_MF_3	GO:0016810~hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	5	0.18860807242549982	0.6144253269455495	XP_017642212, XP_017638267, XP_017642414, XP_017642689, XP_017632052	575	14	1979	1.229192546583851	1.0	1.0	1.0
GOTERM_MF_3	GO:0016705~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	9	0.33949453036589966	0.6367774365005066	XP_017617185, XP_017640864, XP_017623496, XP_017616331, XP_017642762, XP_017626245, XP_017633729, XP_017616747, XP_017607737	575	29	1979	1.0681259370314844	1.0	1.0	1.0
GOTERM_MF_3	GO:0030170~pyridoxal phosphate binding	7	0.2640513013956997	0.6505845909570948	XP_017617342, XP_017630573, XP_017642555, XP_017603101, XP_017603344, XP_017631437, XP_017647440	575	22	1979	1.095098814229249	1.0	1.0	1.0
GOTERM_MF_3	GO:0017171~serine hydrolase activity	10	0.37721614485099964	0.6521983304165355	XP_017615659, XP_017619266, XP_017606372, XP_017626712, XP_017608545, XP_017631651, XP_017628214, XP_017642887, XP_017624297, XP_017613977	575	33	1979	1.042951251646904	1.0	1.0	1.0
GOTERM_MF_3	GO:0019787~ubiquitin-like protein transferase activity	4	0.15088645794039984	0.6617088951311925	XP_017647335, XP_017630969, XP_017631167, XP_017640574	575	11	1979	1.2515415019762846	1.0	1.0	1.0
GOTERM_MF_3	GO:0016879~ligase activity, forming carbon-nitrogen bonds	5	0.18860807242549982	0.6741299851754564	XP_017642471, XP_017623259, XP_017627411, XP_017628165, XP_017615160	575	15	1979	1.1472463768115941	1.0	1.0	1.0
GOTERM_MF_3	GO:0016830~carbon-carbon lyase activity	7	0.2640513013956997	0.7394359178408123	XP_017617342, XP_017606919, XP_017616222, XP_017642555, YP_005089007, XP_017627564, XP_017612285	575	24	1979	1.0038405797101448	1.0	1.0	1.0
GOTERM_MF_3	GO:0016701~oxidoreductase activity, acting on single donors with incorporation of molecular oxygen	2	0.07544322897019992	0.7462632191644183	XP_017633729, XP_017648210	575	4	1979	1.7208695652173913	1.0	1.0	1.0
GOTERM_MF_3	GO:0015002~heme-copper terminal oxidase activity	2	0.07544322897019992	0.7462632191644183	XP_017606908, XP_017624319	575	4	1979	1.7208695652173913	1.0	1.0	1.0
GOTERM_MF_3	GO:0016782~transferase activity, transferring sulfur-containing groups	2	0.07544322897019992	0.7462632191644183	XP_017603101, XP_017603365	575	4	1979	1.7208695652173913	1.0	1.0	1.0
GOTERM_MF_3	GO:0016675~oxidoreductase activity, acting on a heme group of donors	2	0.07544322897019992	0.7462632191644183	XP_017606908, XP_017624319	575	4	1979	1.7208695652173913	1.0	1.0	1.0
GOTERM_MF_3	GO:0043168~anion binding	9	0.33949453036589966	0.7532151927714947	XP_017609784, XP_017617342, XP_017630573, XP_017642555, XP_017603101, XP_017603344, XP_017631437, XP_017638992, XP_017647440	575	32	1979	0.9679891304347826	1.0	1.0	1.0
GOTERM_MF_3	GO:0016835~carbon-oxygen lyase activity	6	0.2263296869105998	0.7744301640870721	XP_017606493, XP_017622660, XP_017639217, XP_017616696, XP_017609965, XP_017630913	575	21	1979	0.9833540372670809	1.0	1.0	1.0
GOTERM_MF_3	GO:0003676~nucleic acid binding	133	5.016974726518296	0.7759805736915747	XP_017627847, XP_017646884, XP_017608094, XP_017612620, XP_017633567, XP_017641873, XP_017608525, XP_017639022, XP_017649646, XP_017624448, XP_017626987, XP_017649763, XP_017616026, XP_017633834, XP_017634647, XP_017646250, XP_017637911, XP_017637116, XP_017635294, XP_017611261, XP_017615464, XP_017643821, XP_017604578, XP_017626905, XP_017602953, YP_005089032, YP_005089031, XP_017624079, YP_005089036, YP_005088980, XP_017641055, YP_005089035, YP_005089034, XP_017624113, XP_017617027, XP_017647155, XP_017631845, XP_017612645, XP_017619609, XP_017612401, XP_017638599, XP_017649180, XP_017630993, XP_017608421, XP_017611790, YP_005089038, XP_017642788, YP_005089037, YP_005088989, XP_017625968, XP_017645937, XP_017646113, YP_005088991, XP_017641861, YP_005088990, XP_017625312, XP_017619555, XP_017626882, XP_017616689, XP_017631835, XP_017615923, XP_017607342, XP_017611289, XP_017613984, XP_017607104, XP_017606657, XP_017649908, XP_017643886, YP_005088997, XP_017620174, XP_017626278, XP_017616475, XP_017624372, XP_017624371, XP_017616757, XP_017617604, XP_017607594, XP_017648191, XP_017631584, XP_017615411, XP_017639101, XP_017623849, XP_017609899, XP_017642526, XP_017606705, XP_017627515, XP_017646332, XP_017646216, XP_017621495, YP_005089022, XP_017611509, XP_017630523, XP_017621492, XP_017627350, XP_017613529, XP_017612437, XP_017637711, XP_017634964, XP_017631454, XP_017640631, XP_017612271, XP_017603202, XP_017623104, XP_017618278, XP_017645973, XP_017626178, XP_017616412, XP_017640560, XP_017625000, XP_017649531, XP_017620191, XP_017624270, XP_017607650, XP_017611355, XP_017634111, XP_017634110, XP_017639525, XP_017641532, XP_017606209, XP_017623987, XP_017644806, XP_017602936, XP_017623056, XP_017623695, XP_017623178, XP_017629397, XP_017631639, XP_017611766, XP_017612337, XP_017612972, XP_017630021, XP_017613024, XP_017606734	575	476	1979	0.9616624040920717	1.0	1.0	1.0
GOTERM_MF_3	GO:0016741~transferase activity, transferring one-carbon groups	20	0.7544322897019993	0.7783336106096602	XP_017643351, XP_017646125, XP_017621994, XP_017624458, XP_017630718, XP_017628622, XP_017619555, XP_017633725, XP_017625991, XP_017616989, XP_017634947, XP_017643381, XP_017612561, XP_017634841, XP_017608637, XP_017612372, XP_017643787, XP_017604578, XP_017642788, XP_017622359	575	74	1979	0.9301997649823738	1.0	1.0	1.0
GOTERM_MF_3	GO:0051213~dioxygenase activity	3	0.1131648434552999	0.7863307535657464	XP_017623561, XP_017626099, XP_017626968	575	9	1979	1.1472463768115941	1.0	1.0	1.0
GOTERM_MF_3	GO:0016788~hydrolase activity, acting on ester bonds	23	0.867597133157299	0.79727144348983	XP_017620220, XP_017603318, XP_017647037, XP_017623895, XP_017650228, XP_017629745, XP_017619622, XP_017650225, XP_017622189, XP_017640770, XP_017624451, XP_017631407, XP_017637968, XP_017612347, XP_017615725, XP_017637328, XP_017612673, XP_017606169, XP_017606563, XP_017638853, XP_017603221, XP_017645724, XP_017642439	575	86	1979	0.9204651162790698	1.0	1.0	1.0
GOTERM_MF_3	GO:0008565~protein transporter activity	4	0.15088645794039984	0.819888818052577	XP_017624245, XP_017634884, XP_017623580, XP_017619814	575	14	1979	0.9833540372670808	1.0	1.0	1.0
GOTERM_MF_3	GO:0016684~oxidoreductase activity, acting on peroxide as acceptor	4	0.15088645794039984	0.819888818052577	XP_017605652, XP_017643235, XP_017647363, XP_017606969	575	14	1979	0.9833540372670808	1.0	1.0	1.0
GOTERM_MF_3	GO:0001076~transcription factor activity, RNA polymerase II transcription factor binding	2	0.07544322897019992	0.8200074785065623	XP_017634973, XP_017630315	575	5	1979	1.376695652173913	1.0	1.0	1.0
GOTERM_MF_3	GO:0019208~phosphatase regulator activity	2	0.07544322897019992	0.8200074785065623	XP_017610246, XP_017646260	575	5	1979	1.376695652173913	1.0	1.0	1.0
GOTERM_MF_3	GO:0016859~cis-trans isomerase activity	3	0.1131648434552999	0.8352502988721777	XP_017633445, XP_017626211, XP_017646260	575	10	1979	1.0325217391304349	1.0	1.0	1.0
GOTERM_MF_3	GO:0003712~transcription cofactor activity	3	0.1131648434552999	0.8352502988721777	XP_017637291, XP_017634973, XP_017630315	575	10	1979	1.0325217391304349	1.0	1.0	1.0
GOTERM_MF_3	GO:0004857~enzyme inhibitor activity	2	0.07544322897019992	0.8723457294370088	XP_017616222, XP_017631407	575	6	1979	1.1472463768115941	1.0	1.0	1.0
GOTERM_MF_3	GO:0005319~lipid transporter activity	2	0.07544322897019992	0.8723457294370088	XP_017615589, XP_017633646	575	6	1979	1.1472463768115941	1.0	1.0	1.0
GOTERM_MF_3	GO:0016627~oxidoreductase activity, acting on the CH-CH group of donors	3	0.1131648434552999	0.8738150552590818	XP_017626800, XP_017611752, XP_017616331	575	11	1979	0.9386561264822135	1.0	1.0	1.0
GOTERM_MF_3	GO:0016903~oxidoreductase activity, acting on the aldehyde or oxo group of donors	3	0.1131648434552999	0.903906538951462	XP_017620140, XP_017642423, XP_017622899	575	12	1979	0.8604347826086957	1.0	1.0	1.0
GOTERM_MF_3	GO:0022803~passive transmembrane transporter activity	2	0.07544322897019992	0.9094838699865353	XP_017602978, XP_017607996	575	7	1979	0.9833540372670808	1.0	1.0	1.0
GOTERM_MF_3	GO:0008047~enzyme activator activity	2	0.07544322897019992	0.9094838699865353	XP_017646260, XP_017612536	575	7	1979	0.9833540372670808	1.0	1.0	1.0
GOTERM_MF_3	GO:0019207~kinase regulator activity	2	0.07544322897019992	0.9094838699865353	XP_017627424, XP_017625957	575	7	1979	0.9833540372670808	1.0	1.0	1.0
GOTERM_MF_3	GO:0016667~oxidoreductase activity, acting on a sulfur group of donors	8	0.3017729158807997	0.9444855223043308	XP_017633452, XP_017620807, XP_017614305, XP_017647387, XP_017614441, XP_017642666, XP_017612945, XP_017643280	575	37	1979	0.7441598119858991	1.0	1.0	1.0
GOTERM_MF_3	GO:0001882~nucleoside binding	98	3.6967182195397963	0.9521305211570704	XP_017647059, XP_017629469, XP_017619307, XP_017631787, XP_017619306, XP_017607040, XP_017649354, XP_017637926, XP_017609693, XP_017634011, XP_017633567, XP_017631543, XP_017611371, XP_017641873, XP_017643259, XP_017626346, XP_017646379, XP_017642575, XP_017646097, XP_017634761, XP_017608495, XP_017615589, XP_017637994, XP_017602790, XP_017606477, XP_017603365, XP_017623519, XP_017622948, XP_017649977, XP_017606409, XP_017627105, XP_017649693, XP_017649573, XP_017646181, XP_017609355, XP_017631164, YP_005088984, XP_017611790, XP_017603773, XP_017650163, XP_017638355, XP_017603775, XP_017623548, XP_017645937, XP_017623017, XP_017623259, YP_005088991, XP_017648893, XP_017611289, XP_017612376, XP_017622849, XP_017603958, XP_017649279, XP_017626278, XP_017623443, XP_017613915, XP_017633407, XP_017607353, XP_017631068, XP_017605852, XP_017636075, XP_017648903, XP_017642526, XP_017607929, XP_017623436, XP_017620202, XP_017646216, XP_017624122, XP_017626783, XP_017611509, XP_017641727, XP_017637711, XP_017615304, XP_017604492, XP_017612035, XP_017638086, XP_017623066, XP_017646665, XP_017645973, XP_017621161, XP_017637903, XP_017620193, XP_017631241, XP_017642629, XP_017608067, XP_017607493, XP_017639644, XP_017638155, XP_017646705, XP_017642471, XP_017647007, XP_017633659, XP_017637615, XP_017633930, XP_017612691, YP_005089006, XP_017643968, XP_017620902, XP_017615160	575	378	1979	0.8923027375201289	1.0	1.0	1.0
GOTERM_MF_3	GO:0016746~transferase activity, transferring acyl groups	10	0.37721614485099964	0.9703813259576963	XP_017642838, XP_017633952, XP_017649390, XP_017611596, XP_017631268, XP_017620024, XP_017611660, XP_017632070, XP_017607589, XP_017603622	575	49	1979	0.7023957409050576	1.0	1.0	1.0
GOTERM_MF_3	GO:0016614~oxidoreductase activity, acting on CH-OH group of donors	7	0.2640513013956997	0.97224272164253	XP_017648797, XP_017610917, XP_017642135, XP_017649721, XP_017612276, XP_017638432, XP_017630824	575	36	1979	0.6692270531400966	1.0	1.0	1.0
GOTERM_MF_3	GO:0032553~ribonucleotide binding	96	3.6212749905695967	0.980518905311949	XP_017647059, XP_017629469, XP_017619307, XP_017619306, XP_017631787, XP_017607040, XP_017649354, XP_017637926, XP_017609693, XP_017634011, XP_017633567, XP_017631543, XP_017611371, XP_017643259, XP_017626346, XP_017646379, XP_017642575, XP_017646097, XP_017634761, XP_017608495, XP_017637994, XP_017615589, XP_017602790, XP_017606477, XP_017623519, XP_017603365, XP_017622948, XP_017649977, XP_017606409, XP_017627105, XP_017649693, XP_017649573, XP_017646181, XP_017609355, XP_017631164, YP_005088984, XP_017611790, XP_017650163, XP_017603773, XP_017638355, XP_017603775, XP_017623548, XP_017645937, XP_017623017, XP_017623259, XP_017648893, XP_017611289, XP_017612376, XP_017622849, XP_017603958, XP_017649279, XP_017626278, XP_017623443, XP_017613915, XP_017633407, XP_017607353, XP_017631068, XP_017605852, XP_017636075, XP_017648903, XP_017642526, XP_017607929, XP_017623436, XP_017646216, XP_017620202, XP_017624122, XP_017626783, XP_017611509, XP_017641727, XP_017637711, XP_017604492, XP_017615304, XP_017612035, XP_017638086, XP_017623066, XP_017646665, XP_017645973, XP_017621161, XP_017637903, XP_017620193, XP_017631241, XP_017642629, XP_017608067, XP_017607493, XP_017639644, XP_017638155, XP_017646705, XP_017642471, XP_017647007, XP_017633659, XP_017637615, XP_017633930, XP_017612691, YP_005089006, XP_017643968, XP_017620902, XP_017615160	575	382	1979	0.8649396767584795	1.0	1.0	1.0
GOTERM_MF_3	GO:0060589~nucleoside-triphosphatase regulator activity	2	0.07544322897019992	0.9838258530907373	XP_017623012, XP_017612536	575	12	1979	0.5736231884057971	1.0	1.0	1.0
