Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_5	GO:0008374~O-acyltransferase activity	5	0.6963788300835655	0.011961919782790717	XM_007824054, XM_007825084, XM_007822924, XM_007822823, XM_007820765	248	7	1645	4.737903225806451	0.8559335055214152	1.0	1.0
GOTERM_MF_5	GO:0004620~phospholipase activity	5	0.6963788300835655	0.021134584240940522	XM_007824166, XM_007819160, XM_007822639, XM_007819118, XM_007822531	248	8	1645	4.145665322580645	0.9679077221389721	1.0	1.0
GOTERM_MF_5	GO:0004622~lysophospholipase activity	3	0.4178272980501393	0.06070324762520638	XM_007819160, XM_007819118, XM_007822531	248	3	1645	6.633064516129032	0.9999581925053531	1.0	1.0
GOTERM_MF_5	GO:0008324~cation transmembrane transporter activity	17	2.3676880222841223	0.08446472927764333	XM_007820131, XM_007821462, XM_007825018, XM_007826846, XM_007824384, XM_011413249, XM_007825120, XM_007825376, XM_007821455, XM_007822323, XM_007826886, XM_007818507, XM_007818605, XM_007821719, XM_007828385, XM_007821626, XM_007819982	248	75	1645	1.503494623655914	0.9999993244027331	1.0	1.0
GOTERM_MF_5	GO:0046914~transition metal ion binding	47	6.545961002785515	0.2248824662134951	XM_007826414, XM_007822354, XM_007820990, XM_007828332, XM_011413228, XM_007827443, XM_007820655, XM_007825287, XM_007827464, XM_007826376, XM_007822754, XM_007822699, XM_007824338, XM_007824039, XM_007826654, XM_007818321, XM_007819873, XM_007818667, XM_007819413, XM_007823553, XM_007824521, XM_007819132, XM_007825658, XM_007826847, XM_007818165, XM_007823691, XM_007819095, XM_011412685, XM_007819492, XM_007821071, XM_007819053, XM_007821679, XM_007825053, XM_007825098, XM_007822986, XM_007822129, XM_007825750, XM_007820124, XM_007825456, XM_007823510, XM_007825180, XM_007821519, XM_007820823, XM_007819728, XM_007819843, XM_007818277, XM_007818017	248	276	1645	1.129543595137915	1.0	1.0	1.0
GOTERM_MF_5	GO:0046943~carboxylic acid transmembrane transporter activity	5	0.6963788300835655	0.2442636507280815	XM_011412876, XM_007823414, XM_007825145, XM_007821104, XM_007820794	248	17	1645	1.9509013282732448	1.0	1.0	1.0
GOTERM_MF_5	GO:0019114~catechol dioxygenase activity	2	0.2785515320334262	0.27783595500561103	XM_007822986, XM_007820124	248	2	1645	6.633064516129032	1.0	1.0	1.0
GOTERM_MF_5	GO:0047750~cholestenol delta-isomerase activity	2	0.2785515320334262	0.27783595500561103	XM_007825291, XM_007821434	248	2	1645	6.633064516129032	1.0	1.0	1.0
GOTERM_MF_5	GO:0004352~glutamate dehydrogenase (NAD+) activity	2	0.2785515320334262	0.27783595500561103	XM_007820478, XM_007827458	248	2	1645	6.633064516129032	1.0	1.0	1.0
GOTERM_MF_5	GO:0010181~FMN binding	5	0.6963788300835655	0.2798257533029016	XM_007822076, XM_007820737, XM_007819844, XM_007825100, XM_007826266	248	18	1645	1.8425179211469533	1.0	1.0	1.0
GOTERM_MF_5	GO:0051287~NAD binding	6	0.8356545961002786	0.3820298575229878	XM_007819054, XM_007824841, XM_007826744, XM_007825855, XM_007825045, XM_007825673	248	27	1645	1.4740143369175627	1.0	1.0	1.0
GOTERM_MF_5	GO:0003840~gamma-glutamyltransferase activity	2	0.2785515320334262	0.3864023086960738	XM_007823531, XM_007826067	248	3	1645	4.422043010752688	1.0	1.0	1.0
GOTERM_MF_5	GO:0019202~amino acid kinase activity	2	0.2785515320334262	0.3864023086960738	XM_007824805, XM_007823825	248	3	1645	4.422043010752688	1.0	1.0	1.0
GOTERM_MF_5	GO:0031418~L-ascorbic acid binding	2	0.2785515320334262	0.3864023086960738	XM_007826414, XM_007822129	248	3	1645	4.422043010752688	1.0	1.0	1.0
GOTERM_MF_5	GO:0016791~phosphatase activity	8	1.1142061281337048	0.44693119912799156	XM_007822171, XM_007823093, XM_007823060, XM_007819779, XM_007825035, XM_007822149, XM_007822687, XM_007820059	248	42	1645	1.2634408602150538	1.0	1.0	1.0
GOTERM_MF_5	GO:0099516~ion antiporter activity	2	0.2785515320334262	0.4787035448415032	XM_007821462, XM_007824384	248	4	1645	3.316532258064516	1.0	1.0	1.0
GOTERM_MF_5	GO:0008236~serine-type peptidase activity	5	0.6963788300835655	0.496737365437966	XM_007823673, XM_007823540, XM_007822638, XM_007823626, XM_007827634	248	24	1645	1.381888440860215	1.0	1.0	1.0
GOTERM_MF_5	GO:0050660~flavin adenine dinucleotide binding	8	1.1142061281337048	0.49894037936680075	XM_007822442, XM_007826976, XM_007825405, XM_007819728, XM_007819921, XM_007818300, XM_007828014, XM_007826776	248	44	1645	1.2060117302052784	1.0	1.0	1.0
GOTERM_MF_5	GO:0008081~phosphoric diester hydrolase activity	3	0.4178272980501393	0.5089788277683879	XM_007824864, XM_007824166, XM_007818262	248	11	1645	1.8090175953079177	1.0	1.0	1.0
GOTERM_MF_5	GO:0004012~phospholipid-translocating ATPase activity	2	0.2785515320334262	0.5571680326076724	XM_007819477, XM_007822124	248	5	1645	2.653225806451613	1.0	1.0	1.0
GOTERM_MF_5	GO:0008375~acetylglucosaminyltransferase activity	2	0.2785515320334262	0.5571680326076724	XM_007821166, XM_007820997	248	5	1645	2.653225806451613	1.0	1.0	1.0
GOTERM_MF_5	GO:0070008~serine-type exopeptidase activity	2	0.2785515320334262	0.5571680326076724	XM_007822638, XM_007823626	248	5	1645	2.653225806451613	1.0	1.0	1.0
GOTERM_MF_5	GO:0070403~NAD+ binding	2	0.2785515320334262	0.6238628472080873	XM_007819054, XM_007825855	248	6	1645	2.211021505376344	1.0	1.0	1.0
GOTERM_MF_5	GO:0000287~magnesium ion binding	5	0.6963788300835655	0.6541717867841104	XM_007822595, XM_007822306, XM_007818300, XM_007819477, XM_007822124	248	29	1645	1.1436318131256953	1.0	1.0	1.0
GOTERM_MF_5	GO:0004519~endonuclease activity	5	0.6963788300835655	0.6541717867841104	XM_007827723, XM_007825391, XM_007823371, XM_007823418, XM_007819763	248	29	1645	1.1436318131256953	1.0	1.0	1.0
GOTERM_MF_5	GO:0004673~protein histidine kinase activity	2	0.2785515320334262	0.6805473357622007	XM_007818720, XM_007822867	248	7	1645	1.8951612903225805	1.0	1.0	1.0
GOTERM_MF_5	GO:0015297~antiporter activity	2	0.2785515320334262	0.6805473357622007	XM_007821462, XM_007824384	248	7	1645	1.8951612903225805	1.0	1.0	1.0
GOTERM_MF_5	GO:0004252~serine-type endopeptidase activity	3	0.4178272980501393	0.6832722711074265	XM_007823673, XM_007823540, XM_007827634	248	15	1645	1.3266129032258065	1.0	1.0	1.0
GOTERM_MF_5	GO:0050661~NADP binding	3	0.4178272980501393	0.6832722711074265	XM_007820044, XM_007821747, XM_007825673	248	15	1645	1.3266129032258065	1.0	1.0	1.0
GOTERM_MF_5	GO:0016407~acetyltransferase activity	4	0.5571030640668524	0.7228552466276358	XM_007826728, XM_007823969, XM_007822924, XM_007822643	248	24	1645	1.105510752688172	1.0	1.0	1.0
GOTERM_MF_5	GO:0070001~aspartic-type peptidase activity	2	0.2785515320334262	0.7287187692589986	XM_007820594, XM_007827692	248	8	1645	1.658266129032258	1.0	1.0	1.0
GOTERM_MF_5	GO:0022838~substrate-specific channel activity	2	0.2785515320334262	0.7696512457355983	XM_007823081, XM_007819982	248	9	1645	1.4740143369175627	1.0	1.0	1.0
GOTERM_MF_5	GO:0005216~ion channel activity	2	0.2785515320334262	0.7696512457355983	XM_007823081, XM_007819982	248	9	1645	1.4740143369175627	1.0	1.0	1.0
GOTERM_MF_5	GO:0071949~FAD binding	2	0.2785515320334262	0.7696512457355983	XM_007819921, XM_007828014	248	9	1645	1.4740143369175627	1.0	1.0	1.0
GOTERM_MF_5	GO:0008238~exopeptidase activity	3	0.4178272980501393	0.8471493950645841	XM_007822638, XM_007825053, XM_007823626	248	21	1645	0.9475806451612904	1.0	1.0	1.0
GOTERM_MF_5	GO:0016410~N-acyltransferase activity	3	0.4178272980501393	0.8471493950645841	XM_007826728, XM_007823969, XM_007822643	248	21	1645	0.9475806451612904	1.0	1.0	1.0
GOTERM_MF_5	GO:0004175~endopeptidase activity	6	0.8356545961002786	0.8574728235771806	XM_007820594, XM_007823673, XM_007823540, XM_007824163, XM_007827692, XM_007827634	248	47	1645	0.8467741935483871	1.0	1.0	1.0
GOTERM_MF_5	GO:0004527~exonuclease activity	3	0.4178272980501393	0.8654429353715618	XM_007827439, XM_007820726, XM_007825302	248	22	1645	0.9045087976539589	1.0	1.0	1.0
GOTERM_MF_5	GO:0008237~metallopeptidase activity	3	0.4178272980501393	0.9089483674117863	XM_007824163, XM_007825053, XM_007828004	248	25	1645	0.7959677419354838	1.0	1.0	1.0
GOTERM_MF_5	GO:0043565~sequence-specific DNA binding	4	0.5571030640668524	0.9249491913435717	XM_007823371, XM_007819141, XM_007822194, XM_007820970	248	36	1645	0.7370071684587813	1.0	1.0	1.0
GOTERM_MF_5	GO:0008135~translation factor activity, RNA binding	6	0.8356545961002786	0.9770630760182137	XM_007822818, XM_007826060, XM_007818780, XM_007821515, XM_007825463, XM_007822953	248	65	1645	0.6122828784119106	1.0	1.0	1.0
GOTERM_MF_5	GO:0004672~protein kinase activity	9	1.2534818941504178	0.9862132662922128	XM_007826439, XM_007825427, XM_007823827, XM_007821605, XM_007818720, XM_007822867, XM_007821469, XM_007827882, XM_007823368	248	97	1645	0.6154389757233123	1.0	1.0	1.0
GOTERM_MF_5	GO:0005509~calcium ion binding	2	0.2785515320334262	0.9938681294610808	XM_007827439, XM_007822083	248	31	1645	0.4279396462018731	1.0	1.0	1.0
GOTERM_MF_5	GO:0042626~ATPase activity, coupled to transmembrane movement of substances	2	0.2785515320334262	0.9977402948243433	XM_007818293, XM_007819881	248	37	1645	0.3585440278988666	1.0	1.0	1.0
GOTERM_MF_5	GO:0019001~guanyl nucleotide binding	5	0.6963788300835655	0.9979967887298105	XM_007823982, XM_007819836, XM_007819317, XM_007819487, XM_007818314	248	75	1645	0.4422043010752688	1.0	1.0	1.0
