Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	maj01110:Biosynthesis of secondary metabolites	32	5.797101449275362	0.12050859033652714	XM_007820252, XM_007823684, XM_007820371, XM_007824450, XM_007824470, XM_007823968, XM_007822779, XM_007823548, XM_007821123, XM_007821201, XM_007827272, XM_007826040, XM_007825250, XM_007818228, XM_007823410, XM_007819451, XM_007825359, XM_007821493, XM_007827836, XM_007819211, XM_007826429, XM_007818582, XM_007827077, XM_007822768, XM_007820104, XM_007821557, XM_007821018, XM_007823117, XM_007820287, XM_007823313, XM_007819546, XM_007819488	158	229	1417	1.2532198330661655	0.9999492035519137	1.0	1.0
KEGG_PATHWAY	maj01130:Biosynthesis of antibiotics	25	4.528985507246377	0.14556062027926575	XM_007820371, XM_007824450, XM_007824470, XM_007823968, XM_007820118, XM_007822779, XM_007823548, XM_007821201, XM_007821903, XM_007827272, XM_007818228, XM_007823410, XM_007819451, XM_007819211, XM_007826429, XM_007827077, XM_007822768, XM_007827058, XM_007820104, XM_007821557, XM_007821018, XM_007823117, XM_007820287, XM_007819107, XM_007819488	158	175	1417	1.2811934900542497	0.9999945114614676	1.0	1.0
KEGG_PATHWAY	maj00760:Nicotinate and nicotinamide metabolism	4	0.7246376811594203	0.16687341542766468	XM_007822244, XM_007820096, XM_007825292, XM_007821702	158	13	1417	2.7594936708860756	0.9999992152226805	1.0	1.0
KEGG_PATHWAY	maj01212:Fatty acid metabolism	5	0.9057971014492754	0.24557982311756876	XM_007825414, XM_007820371, XM_007820104, XM_007819488, XM_007819137	158	23	1417	1.949642267473858	0.9999999996231022	1.0	1.0
KEGG_PATHWAY	maj00260:Glycine, serine and threonine metabolism	6	1.0869565217391304	0.27641070002581236	XM_007826429, XM_007821903, XM_007822768, XM_007827058, XM_007823117, XM_007821123	158	32	1417	1.6815664556962024	0.9999999999848331	1.0	1.0
KEGG_PATHWAY	maj00900:Terpenoid backbone biosynthesis	4	0.7246376811594203	0.28921794163724746	XM_007824450, XM_007824470, XM_007825250, XM_007821018	158	17	1417	2.1102010424422932	0.9999999999961655	1.0	1.0
KEGG_PATHWAY	maj04113:Meiosis - yeast	8	1.4492753623188406	0.29528218407076695	XM_007825237, XM_007824169, XM_007820262, XM_007823284, XM_007820986, XM_007821720, XM_007823401, XM_007819545	158	49	1417	1.4642211314905709	0.9999999999980177	1.0	1.0
KEGG_PATHWAY	maj00240:Pyrimidine metabolism	8	1.4492753623188406	0.31392663940077314	XM_007822287, XM_007822648, XM_007821646, XM_007819877, XM_007819239, XM_007824525, XM_007821356, XM_007819313	158	50	1417	1.4349367088607594	0.9999999999997485	1.0	1.0
KEGG_PATHWAY	maj03013:RNA transport	11	1.9927536231884055	0.31398189524562264	XM_007819099, XM_007818022, XM_007824142, XM_007821093, XM_007827075, XM_007821845, XM_007818532, XM_007822646, XM_011412900, XM_007821795, XM_007823565	158	75	1417	1.3153586497890295	0.9999999999997501	1.0	1.0
KEGG_PATHWAY	maj01230:Biosynthesis of amino acids	13	2.355072463768116	0.3297859714749918	XM_007823410, XM_007821493, XM_007819211, XM_007823968, XM_007822768, XM_007822779, XM_007827058, XM_007823548, XM_007823623, XM_007821123, XM_007821903, XM_007819546, XM_007818228	158	93	1417	1.2536409418810397	0.9999999999999585	1.0	1.0
KEGG_PATHWAY	maj01200:Carbon metabolism	12	2.1739130434782608	0.3670558424788366	XM_007819211, XM_007826429, XM_007827272, XM_007822768, XM_007827058, XM_007823548, XM_007821557, XM_007823117, XM_007818228, XM_007819488, XM_007820287, XM_007821201	158	87	1417	1.23701440419031	0.9999999999999994	1.0	1.0
KEGG_PATHWAY	maj00592:alpha-Linolenic acid metabolism	2	0.36231884057971014	0.3751536444812833	XM_007820371, XM_007820104	158	4	1417	4.484177215189873	0.9999999999999998	1.0	1.0
KEGG_PATHWAY	maj01100:Metabolic pathways	66	11.956521739130435	0.39179379834582645	XM_007822772, XM_007827903, XM_007824470, XM_007822659, XM_007821646, XM_007820634, XM_007820118, XM_007822779, XM_007823548, XM_007823623, XM_007822213, XM_007821123, XM_007827272, XM_007825292, XM_007819877, XM_007819239, XM_007818228, XM_007819313, XM_007818028, XM_007825414, XM_007823397, XM_007821493, XM_007827836, XM_007826429, XM_007818582, XM_007827077, XM_007821018, XM_007824525, XM_007823117, XM_007821213, XM_007820287, XM_007823313, XM_007823598, XM_007821014, XM_007820609, XM_007819546, XM_007819107, XM_007820252, XM_007826437, XM_007823684, XM_007820096, XM_007820371, XM_007824450, XM_007820216, XM_007823968, XM_007822556, XM_007821068, XM_007821903, XM_007826040, XM_007819137, XM_007822244, XM_007823410, XM_007819451, XM_007825359, XM_007822287, XM_007819211, XM_007821073, XM_007820381, XM_007822648, XM_007822768, XM_007827058, XM_007820104, XM_007821557, XM_007821356, XM_007820505, XM_007819488	158	568	1417	1.0420975218399	1.0	1.0	1.0
KEGG_PATHWAY	maj00010:Glycolysis / Gluconeogenesis	5	0.9057971014492754	0.403272509075623	XM_007827836, XM_007822768, XM_007821557, XM_007818228, XM_007820287	158	29	1417	1.5462680052378874	1.0	1.0	1.0
KEGG_PATHWAY	maj00071:Fatty acid degradation	3	0.5434782608695652	0.4313293659884147	XM_007820371, XM_007820104, XM_007819488	158	13	1417	2.069620253164557	1.0	1.0	1.0
KEGG_PATHWAY	maj04120:Ubiquitin mediated proteolysis	7	1.2681159420289856	0.44351051767739325	XM_007818591, XM_007827670, XM_007822512, XM_007821720, XM_007820221, XM_007823565, XM_007819545	158	48	1417	1.3078850210970463	1.0	1.0	1.0
KEGG_PATHWAY	maj03018:RNA degradation	6	1.0869565217391304	0.4606390757501621	XM_007822266, XM_007821890, XM_007821831, XM_007820553, XM_007818228, XM_007820695	158	40	1417	1.345253164556962	1.0	1.0	1.0
KEGG_PATHWAY	maj04146:Peroxisome	6	1.0869565217391304	0.4832426257927408	XM_007820371, XM_007824396, XM_007823806, XM_007823281, XM_007820104, XM_007821201	158	41	1417	1.3124421117628897	1.0	1.0	1.0
KEGG_PATHWAY	maj03008:Ribosome biogenesis in eukaryotes	8	1.4492753623188406	0.5044489272598134	XM_007824142, XM_007818532, XM_007823039, XM_007827433, XM_007822797, XM_007822752, XM_007820695, XM_007818622	158	60	1417	1.1957805907172996	1.0	1.0	1.0
KEGG_PATHWAY	maj03050:Proteasome	5	0.9057971014492754	0.506241706396396	XM_007821350, XM_007819893, XM_007820240, XM_007822327, XM_007820674	158	33	1417	1.3588415803605678	1.0	1.0	1.0
KEGG_PATHWAY	maj00630:Glyoxylate and dicarboxylate metabolism	4	0.7246376811594203	0.5071316620207085	XM_007826429, XM_007823623, XM_007823117, XM_007821201	158	24	1417	1.4947257383966244	1.0	1.0	1.0
KEGG_PATHWAY	maj00680:Methane metabolism	3	0.5434782608695652	0.5438954420446394	XM_007822768, XM_007827058, XM_007818228	158	16	1417	1.6815664556962024	1.0	1.0	1.0
KEGG_PATHWAY	maj03010:Ribosome	10	1.8115942028985508	0.5521939949765303	XM_007819908, XM_007823905, XM_007823904, XM_007820669, XM_007819042, XM_007821686, XM_007822864, XM_007825344, XM_007825367, XM_007821640	158	81	1417	1.1072042506641664	1.0	1.0	1.0
KEGG_PATHWAY	maj00020:Citrate cycle (TCA cycle)	4	0.7246376811594203	0.5634064065599531	XM_007819211, XM_007827272, XM_007821557, XM_007820287	158	26	1417	1.3797468354430378	1.0	1.0	1.0
KEGG_PATHWAY	maj00220:Arginine biosynthesis	3	0.5434782608695652	0.5778524420997133	XM_007823410, XM_007822779, XM_007823623	158	17	1417	1.58265078183172	1.0	1.0	1.0
KEGG_PATHWAY	maj00100:Steroid biosynthesis	3	0.5434782608695652	0.5778524420997133	XM_007819451, XM_007820118, XM_007819107	158	17	1417	1.58265078183172	1.0	1.0	1.0
KEGG_PATHWAY	maj03022:Basal transcription factors	4	0.7246376811594203	0.5900549058286252	XM_007820717, XM_007821947, XM_007822777, XM_007826322	158	27	1417	1.3286451007969995	1.0	1.0	1.0
KEGG_PATHWAY	maj00051:Fructose and mannose metabolism	3	0.5434782608695652	0.6099372593379222	XM_007823684, XM_007826040, XM_007823548	158	18	1417	1.4947257383966244	1.0	1.0	1.0
KEGG_PATHWAY	maj04144:Endocytosis	7	1.2681159420289856	0.6193196709136989	XM_007824333, XM_007824440, XM_007820703, XM_007824293, XM_007818654, XM_007821449, XM_007827004	158	57	1417	1.1013768598711968	1.0	1.0	1.0
KEGG_PATHWAY	maj04145:Phagosome	4	0.7246376811594203	0.6401513780712347	XM_007822299, XM_007820636, XM_007823419, XM_007821449	158	29	1417	1.2370144041903097	1.0	1.0	1.0
KEGG_PATHWAY	maj00520:Amino sugar and nucleotide sugar metabolism	4	0.7246376811594203	0.663551035798737	XM_007823684, XM_007819110, XM_007820738, XM_007826040	158	30	1417	1.1957805907172996	1.0	1.0	1.0
KEGG_PATHWAY	maj00250:Alanine, aspartate and glutamate metabolism	3	0.5434782608695652	0.668496689488969	XM_007823410, XM_007819239, XM_007823623	158	20	1417	1.345253164556962	1.0	1.0	1.0
KEGG_PATHWAY	maj01040:Biosynthesis of unsaturated fatty acids	2	0.36231884057971014	0.6921917757289662	XM_007820371, XM_007820104	158	10	1417	1.7936708860759492	1.0	1.0	1.0
KEGG_PATHWAY	maj00790:Folate biosynthesis	2	0.36231884057971014	0.6921917757289662	XM_007820505, XM_007821213	158	10	1417	1.7936708860759492	1.0	1.0	1.0
KEGG_PATHWAY	maj00480:Glutathione metabolism	3	0.5434782608695652	0.6950288402826494	XM_007822806, XM_007827830, XM_007823598	158	21	1417	1.2811934900542494	1.0	1.0	1.0
KEGG_PATHWAY	maj00565:Ether lipid metabolism	2	0.36231884057971014	0.7570744175168469	XM_007825359, XM_007818582	158	12	1417	1.4947257383966244	1.0	1.0	1.0
KEGG_PATHWAY	maj00500:Starch and sucrose metabolism	3	0.5434782608695652	0.7642860365893545	XM_007822772, XM_007827903, XM_007823313	158	24	1417	1.1210443037974682	1.0	1.0	1.0
KEGG_PATHWAY	maj00280:Valine, leucine and isoleucine degradation	3	0.5434782608695652	0.8025551967662241	XM_007820371, XM_007820104, XM_007819488	158	26	1417	1.0348101265822784	1.0	1.0	1.0
KEGG_PATHWAY	maj00600:Sphingolipid metabolism	2	0.36231884057971014	0.8083491015534572	XM_007823397, XM_007820216	158	14	1417	1.2811934900542494	1.0	1.0	1.0
KEGG_PATHWAY	maj00561:Glycerolipid metabolism	2	0.36231884057971014	0.8083491015534572	XM_007818582, XM_007823117	158	14	1417	1.2811934900542494	1.0	1.0	1.0
KEGG_PATHWAY	maj00330:Arginine and proline metabolism	2	0.36231884057971014	0.8083491015534572	XM_007823968, XM_007822779	158	14	1417	1.2811934900542494	1.0	1.0	1.0
KEGG_PATHWAY	maj00563:Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	2	0.36231884057971014	0.8297954244730272	XM_007820609, XM_007821073	158	15	1417	1.1957805907172996	1.0	1.0	1.0
KEGG_PATHWAY	maj00640:Propanoate metabolism	2	0.36231884057971014	0.8488554233022156	XM_007827272, XM_007819488	158	16	1417	1.1210443037974682	1.0	1.0	1.0
KEGG_PATHWAY	maj03015:mRNA surveillance pathway	4	0.7246376811594203	0.8511262491528789	XM_007824169, XM_007820141, XM_007824142, XM_007818026	158	41	1417	0.8749614078419264	1.0	1.0	1.0
KEGG_PATHWAY	maj04141:Protein processing in endoplasmic reticulum	6	1.0869565217391304	0.8567797367437121	XM_007818591, XM_007825218, XM_007823164, XM_007818654, XM_007821479, XM_007826320	158	64	1417	0.8407832278481012	1.0	1.0	1.0
KEGG_PATHWAY	maj00380:Tryptophan metabolism	2	0.36231884057971014	0.8808434537619388	XM_007821014, XM_007821201	158	18	1417	0.9964838255977496	1.0	1.0	1.0
