Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_3	GO:0022891~substrate-specific transmembrane transporter activity	9	23.076923076923077	6.450207859572726E-4	NM_001182507, NM_001181121, NM_001180837, NM_001180969, NM_001181052, NM_001181873, NM_001179686, NM_001181426, NM_001183411	30	229	3239	4.243231441048035	0.029244388167611324	0.02967095615403454	0.02967095615403454
GOTERM_MF_3	GO:0016679~oxidoreductase activity, acting on diphenols and related substances as donors	2	5.128205128205128	0.06107021007808542	NM_001180837, NM_001181426	30	7	3239	30.847619047619048	0.9449035718360447	1.0	1.0
GOTERM_MF_3	GO:0015144~carbohydrate transmembrane transporter activity	2	5.128205128205128	0.10247020701331509	NM_001182507, NM_001181873	30	12	3239	17.994444444444444	0.9930777355314783	1.0	1.0
GOTERM_MF_3	GO:0016817~hydrolase activity, acting on acid anhydrides	5	12.82051282051282	0.39702094291311735	NM_001180714, NM_001182496, NM_001180054, NM_001180640, NM_001179102	30	356	3239	1.5163857677902621	0.9999999999216747	1.0	1.0
GOTERM_MF_3	GO:0008233~peptidase activity	2	5.128205128205128	0.6344737403112911	NM_001178989, NM_001180409	30	110	3239	1.963030303030303	1.0	1.0	1.0
GOTERM_MF_3	GO:0043169~cation binding	6	15.384615384615385	0.6491920962676417	NM_001182143, NM_001180409, NM_001181052, NM_001179102, NM_001178953, NM_001183038	30	602	3239	1.0760797342192692	1.0	1.0	1.0
GOTERM_MF_3	GO:0000166~nucleotide binding	7	17.94871794871795	0.6599988267613891	NM_001180714, NM_001182496, NM_001180640, NM_001179102, NM_001178432, NM_001183038, NM_001184139	30	726	3239	1.0410009182736455	1.0	1.0	1.0
GOTERM_MF_3	GO:1901265~nucleoside phosphate binding	7	17.94871794871795	0.6599988267613891	NM_001180714, NM_001182496, NM_001180640, NM_001179102, NM_001178432, NM_001183038, NM_001184139	30	726	3239	1.0410009182736455	1.0	1.0	1.0
GOTERM_MF_3	GO:0022804~active transmembrane transporter activity	2	5.128205128205128	0.6638934853615186	NM_001180714, NM_001182507	30	119	3239	1.8145658263305322	1.0	1.0	1.0
GOTERM_MF_3	GO:0019899~enzyme binding	2	5.128205128205128	0.6822220316834873	NM_001180581, NM_001179000	30	125	3239	1.7274666666666667	1.0	1.0	1.0
GOTERM_MF_3	GO:0003676~nucleic acid binding	8	20.51282051282051	0.7634332125066773	NM_001182496, NM_001182143, NM_001182594, NM_001180640, NM_001182016, NM_001179102, NM_001182740, NM_001184139	30	924	3239	0.9347763347763347	1.0	1.0	1.0
GOTERM_MF_3	GO:0001882~nucleoside binding	5	12.82051282051282	0.7899194699767271	NM_001180714, NM_001182496, NM_001180640, NM_001179102, NM_001178432	30	580	3239	0.9307471264367815	1.0	1.0	1.0
GOTERM_MF_3	GO:0032553~ribonucleotide binding	5	12.82051282051282	0.804112867999734	NM_001180714, NM_001182496, NM_001180640, NM_001179102, NM_001178432	30	592	3239	0.9118806306306306	1.0	1.0	1.0
