Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Chloroplast	40	5.555555555555555	3.653027919011964E-22	YP_005089032, YP_005089031, YP_005089052, YP_005089030, YP_005088980, YP_005089036, YP_005088981, YP_005089034, YP_005089012, YP_005089055, YP_005089050, YP_005088984, YP_005088985, YP_005089038, YP_005088982, YP_005089037, YP_005088989, YP_005088986, XP_017620658, YP_005088987, YP_005089019, YP_005089042, YP_005089020, XP_017617396, YP_005089047, YP_005089003, YP_005089002, YP_005089046, YP_005089045, YP_005089022, YP_005089044, YP_005088979, YP_005088995, YP_005089007, YP_005089006, YP_005088994, YP_005089048, YP_005088999, YP_005088997, YP_005088998	315	81	3833	6.009014305310601	4.748936294715553E-20	2.3744681473577765E-20	2.0091653554565804E-20
UP_KEYWORDS	Plastid	40	5.555555555555555	3.653027919011964E-22	YP_005089032, YP_005089031, YP_005089052, YP_005089030, YP_005088980, YP_005089036, YP_005088981, YP_005089034, YP_005089012, YP_005089055, YP_005089050, YP_005088984, YP_005088985, YP_005089038, YP_005088982, YP_005089037, YP_005088989, YP_005088986, XP_017620658, YP_005088987, YP_005089019, YP_005089042, YP_005089020, XP_017617396, YP_005089047, YP_005089003, YP_005089002, YP_005089046, YP_005089045, YP_005089022, YP_005089044, YP_005088979, YP_005088995, YP_005089007, YP_005089006, YP_005088994, YP_005089048, YP_005088999, YP_005088997, YP_005088998	315	81	3833	6.009014305310601	4.748936294715553E-20	2.3744681473577765E-20	2.0091653554565804E-20
UP_KEYWORDS	Thylakoid	23	3.194444444444444	8.715235383408505E-15	YP_005089042, YP_005089030, YP_005089052, XP_017617396, YP_005089003, YP_005089047, YP_005089046, YP_005089002, YP_005089012, YP_005089050, YP_005088979, YP_005088984, YP_005088995, YP_005088985, YP_005089006, YP_005088982, YP_005088994, YP_005089048, YP_005088999, YP_005088986, YP_005088998, YP_005089019, YP_005088987	315	39	3833	7.176149776149777	1.1257661469699087E-12	3.7766019994770187E-13	3.195586307249785E-13
UP_KEYWORDS	Ribosomal protein	34	4.722222222222222	2.387709146032909E-8	YP_005089032, YP_005089036, YP_005088981, YP_005089034, XP_017649239, XP_017631226, XP_017610348, XP_017612605, XP_017631947, XP_017631584, XP_017615411, XP_017641994, YP_005089038, YP_005089037, XP_017607337, YP_005089020, XP_017617098, XP_017644893, YP_005089045, YP_005089022, XP_017616883, XP_017617115, XP_017647281, XP_017610617, XP_017634729, XP_017647044, XP_017630505, XP_017617817, XP_017631772, XP_017649908, XP_017635231, XP_017619680, YP_005088997, XP_017646619	315	144	3833	2.8730599647266315	3.104017103572332E-6	7.760054724606954E-7	6.5662001515905E-7
UP_KEYWORDS	Plastoquinone	9	1.25	7.251475431854422E-8	YP_005089042, YP_005089052, YP_005089003, YP_005089047, YP_005089046, YP_005089002, YP_005089055, YP_005089048, YP_005089050	315	10	3833	10.951428571428572	9.42687396909836E-6	1.8853836122821497E-6	1.5953245950079727E-6
UP_KEYWORDS	Ribonucleoprotein	36	5.0	6.834338486630903E-7	YP_005089032, YP_005089036, YP_005088981, XP_017641871, YP_005089034, XP_017649239, XP_017631226, XP_017610348, XP_017612605, XP_017631947, XP_017631584, XP_017615411, XP_017641994, YP_005089038, YP_005089037, XP_017607337, YP_005089020, XP_017617098, XP_017644893, YP_005089045, YP_005089022, XP_017616883, XP_017632327, XP_017617115, XP_017647281, XP_017610617, XP_017634729, XP_017647044, XP_017630505, XP_017617817, XP_017631772, XP_017649908, XP_017635231, XP_017619680, YP_005088997, XP_017646619	315	180	3833	2.4336507936507936	8.884248395435446E-5	1.3452958479179643E-5	1.138327255930585E-5
UP_KEYWORDS	Quinone	8	1.1111111111111112	7.243900719558269E-7	YP_005089042, YP_005089052, YP_005089003, YP_005089047, YP_005089046, YP_005089002, YP_005089048, YP_005089050	315	9	3833	10.816225749559083	9.416630953340555E-5	1.3452958479179643E-5	1.138327255930585E-5
UP_KEYWORDS	Photosynthesis	11	1.5277777777777777	5.771629491013309E-5	YP_005088979, YP_005089030, XP_017617396, YP_005089012, YP_005089007, YP_005088995, YP_005088982, YP_005088994, YP_005088999, YP_005088998, YP_005089019	315	29	3833	4.615544608648057	0.007475255130101055	9.378897922896627E-4	7.9359905501433E-4
UP_KEYWORDS	NADP	9	1.25	1.463308903405282E-4	YP_005089042, YP_005089052, YP_005089003, YP_005089047, YP_005089046, YP_005089002, YP_005089055, YP_005089048, YP_005089050	315	21	3833	5.214965986394557	0.018844585803793557	0.002113668416029852	0.0017884886597175668
UP_KEYWORDS	Transport	22	3.0555555555555554	3.2557232861499176E-4	XP_017646861, YP_005089042, YP_005089030, YP_005089003, YP_005089046, XP_017641540, YP_005089002, YP_005089012, XP_017623046, XP_017626353, YP_005089050, XP_017639636, YP_005088979, YP_005088984, YP_005088985, YP_005089006, YP_005088994, XP_017623548, YP_005088999, YP_005088986, YP_005088998, YP_005088987	315	115	3833	2.32783988957902	0.04144783465882418	0.004232440271994893	0.0035812956147649095
UP_KEYWORDS	ATP synthesis	5	0.6944444444444444	5.806617778019945E-4	YP_005088984, YP_005088985, YP_005089006, YP_005088986, YP_005088987	315	6	3833	10.14021164021164	0.07272764643679575	0.006862366464932662	0.0058066177780199445
UP_KEYWORDS	Oxidoreductase	22	3.0555555555555554	0.0010322242400033997	XP_017650238, XP_017646201, YP_005089042, YP_005089052, YP_005089003, YP_005089047, YP_005089046, YP_005089002, YP_005089055, XP_017626099, YP_005089050, XP_017616747, XP_017607671, XP_017611039, YP_005088979, YP_005089007, YP_005088994, YP_005089048, YP_005088999, XP_017606969, XP_017620658, YP_005088998	315	125	3833	2.141612698412698	0.12563594883876805	0.011182429266703499	0.009462055533364497
UP_KEYWORDS	Acetylation	4	0.5555555555555556	0.002047027031335434	YP_005088979, YP_005089007, YP_005088995, YP_005088994	315	4	3833	12.16825396825397	0.23385685790501143	0.02047027031335434	0.017320997957453673
UP_KEYWORDS	rRNA-binding	7	0.9722222222222222	0.0022924485357396413	YP_005089032, YP_005089034, YP_005089022, XP_017649908, YP_005089038, YP_005089037, YP_005088997	315	18	3833	4.732098765432099	0.25796615854490346	0.021287022117582384	0.018012095637954324
UP_KEYWORDS	NAD	9	1.25	0.0034032779520190046	YP_005089042, YP_005089052, YP_005089003, YP_005089047, YP_005089046, YP_005089002, YP_005089055, YP_005089048, YP_005089050	315	32	3833	3.4223214285714287	0.35800880850023054	0.029495075584164705	0.024957371648139364
UP_KEYWORDS	Chromophore	6	0.8333333333333334	0.007330531035144643	YP_005088979, XP_017617396, YP_005088995, YP_005088994, YP_005088999, YP_005088998	315	16	3833	4.563095238095238	0.6157566039511255	0.056057002033459036	0.047432847874465334
UP_KEYWORDS	Chlorophyll	6	0.8333333333333334	0.007330531035144643	YP_005088979, XP_017617396, YP_005088995, YP_005088994, YP_005088999, YP_005088998	315	16	3833	4.563095238095238	0.6157566039511255	0.056057002033459036	0.047432847874465334
UP_KEYWORDS	Disulfide bond	8	1.1111111111111112	0.009068353932132053	XP_017649413, XP_017639636, XP_017646431, XP_017647216, YP_005089007, XP_017639496, XP_017633779, XP_017609817	315	30	3833	3.2448677248677247	0.6940286551247365	0.06549366728762039	0.05541771847414032
UP_KEYWORDS	Electron transport	6	0.8333333333333334	0.009701744288797824	YP_005088979, YP_005089030, YP_005089012, YP_005088994, YP_005088999, YP_005088998	315	17	3833	4.294677871148459	0.7184329490102689	0.06638035566019564	0.05616799325093477
UP_KEYWORDS	RNA-binding	9	1.25	0.010276920838354416	YP_005089032, YP_005088980, YP_005089034, YP_005089022, XP_017632327, XP_017649908, YP_005089038, YP_005089037, YP_005088997	315	38	3833	2.881954887218045	0.7389157404032445	0.0667999854493037	0.05652306461094929
UP_KEYWORDS	Iron-sulfur	5	0.6944444444444444	0.012888306846979404	XP_017623521, YP_005089003, YP_005089048, YP_005088999, YP_005088998	315	12	3833	5.07010582010582	0.8148095670648385	0.07978475667177726	0.06751017872227306
UP_KEYWORDS	Iron	12	1.6666666666666667	0.013540758261500294	XP_017623521, XP_017611039, YP_005088979, YP_005089003, YP_005089012, YP_005089048, YP_005088994, XP_017626099, XP_017609719, YP_005088999, XP_017616747, YP_005088998	315	64	3833	2.281547619047619	0.8300626012018631	0.080013571545229	0.06770379130750147
UP_KEYWORDS	4Fe-4S	4	0.5555555555555556	0.014858300551513519	YP_005089003, YP_005089048, YP_005088999, YP_005088998	315	7	3833	6.95328798185941	0.8571660925727724	0.08398169876942424	0.07106143742028205
UP_KEYWORDS	CF(0)	3	0.4166666666666667	0.01898397279013588	YP_005088985, YP_005088986, YP_005088987	315	3	3833	12.16825396825397	0.9172261137107498	0.10282985261323602	0.08700987528812278
UP_KEYWORDS	Hydrogen ion transport	5	0.6944444444444444	0.029227920525006695	YP_005088984, YP_005088985, YP_005089006, YP_005088986, YP_005088987	315	15	3833	4.056084656084655	0.9788531339775386	0.15198518673003483	0.12860285031002947
