Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Disulfide bond	12	8.450704225352112	0.024573540112454738	NP_001035400, NP_001077040, NP_694480, NP_001091727, NP_001017637, XP_005170576, NP_571533, NP_001070030, NP_957412, NP_001004521, NP_001314721, NP_001186920	137	55	1286	2.048042468480425	0.9564978151619394	1.0	1.0
UP_KEYWORDS	Secreted	6	4.225352112676056	0.04214767688595668	NP_001035400, NP_001077040, NP_571533, NP_957412, NP_001005598, NP_001186920	137	19	1286	2.9642719938532465	0.9955983230276965	1.0	1.0
UP_KEYWORDS	Flavoprotein	6	4.225352112676056	0.05156887141380453	NP_957475, NP_997776, NP_958899, NP_955872, XP_002663301, NP_958914	137	20	1286	2.816058394160584	0.9987331338072913	1.0	1.0
UP_KEYWORDS	FAD	6	4.225352112676056	0.05156887141380453	NP_957475, NP_997776, NP_958899, NP_955872, XP_002663301, NP_958914	137	20	1286	2.816058394160584	0.9987331338072913	1.0	1.0
UP_KEYWORDS	Lipid biosynthesis	4	2.8169014084507045	0.06032314072648956	NP_958487, NP_942110, NP_997789, NP_001002570	137	9	1286	4.171938361719383	0.9996061824879177	1.0	1.0
UP_KEYWORDS	Signal	24	16.901408450704224	0.11489004207501882	NP_001071066, XP_005170576, NP_001132933, NP_957412, NP_958899, NP_001004521, XP_003201376, NP_001004677, NP_001243120, NP_001005598, NP_001077040, NP_001035400, NP_694480, NP_001091727, NP_571854, NP_001122247, NP_571533, XP_001336957, NP_955872, NP_001116703, NP_001070854, NP_001077317, NP_001314721, NP_001186920	137	170	1286	1.3252039501932162	0.9999997902748193	1.0	1.0
UP_KEYWORDS	Ubl conjugation pathway	4	2.8169014084507045	0.17762601407769413	NP_957252, NP_996966, NP_001017767, NP_956900	137	14	1286	2.681960375391032	0.9999999999801051	1.0	1.0
UP_KEYWORDS	Unfolded protein response	2	1.4084507042253522	0.20039818215926677	NP_001103596, NP_001074120	137	2	1286	9.386861313868613	0.9999999999994218	1.0	1.0
UP_KEYWORDS	Methyltransferase	3	2.112676056338028	0.24487999628733165	NP_997981, NP_998676, NP_932338	137	9	1286	3.128953771289538	0.9999999999999996	1.0	1.0
UP_KEYWORDS	Transferase	12	8.450704225352112	0.29446838083042337	NP_997981, NP_001108215, NP_998676, NP_001103596, NP_001002117, NP_001070030, NP_001007292, NP_997789, NP_932336, NP_001296456, NP_001002570, NP_932338	137	86	1286	1.3097946019351554	1.0	1.0	1.0
